,Home team,Home team score,Visitor team,Visitor team score,Date,Win / Loss
0,LA Clippers,112,Los Angeles Lakers,102,2019-10-22,L
56,Los Angeles Lakers,95,Utah Jazz,86,2019-10-25,W
9,Los Angeles Lakers,120,Charlotte Hornets,101,2019-10-27,W
11,Los Angeles Lakers,120,Memphis Grizzlies,91,2019-10-29,W
10,Dallas Mavericks,110,Los Angeles Lakers,119,2019-11-01,W
52,San Antonio Spurs,96,Los Angeles Lakers,103,2019-11-03,W
1,Chicago Bulls,112,Los Angeles Lakers,118,2019-11-05,W
57,Los Angeles Lakers,95,Miami Heat,80,2019-11-08,L
12,Los Angeles Lakers,104,Toronto Raptors,113,2019-11-10,W
18,Phoenix Suns,115,Los Angeles Lakers,123,2019-11-12,W
53,Los Angeles Lakers,120,Golden State Warriors,94,2019-11-13,W
2,Los Angeles Lakers,99,Sacramento Kings,97,2019-11-15,W
24,Los Angeles Lakers,122,Atlanta Hawks,101,2019-11-17,W
3,Los Angeles Lakers,112,Oklahoma City Thunder,107,2019-11-19,W
32,Oklahoma City Thunder,127,Los Angeles Lakers,130,2019-11-22,W
4,Memphis Grizzlies,108,Los Angeles Lakers,109,2019-11-23,W
5,San Antonio Spurs,104,Los Angeles Lakers,114,2019-11-25,W
59,New Orleans Pelicans,110,Los Angeles Lakers,114,2019-11-27,W
58,Los Angeles Lakers,125,Washington Wizards,103,2019-11-29,W
6,Los Angeles Lakers,100,Dallas Mavericks,114,2019-12-01,W
25,Denver Nuggets,96,Los Angeles Lakers,105,2019-12-03,W
19,Utah Jazz,96,Los Angeles Lakers,121,2019-12-04,L
26,Portland Trail Blazers,113,Los Angeles Lakers,136,2019-12-06,W
33,Los Angeles Lakers,142,Minnesota Timberwolves,125,2019-12-08,W
20,Orlando Magic,87,Los Angeles Lakers,96,2019-12-11,W
7,Miami Heat,110,Los Angeles Lakers,113,2019-12-13,W
34,Atlanta Hawks,96,Los Angeles Lakers,101,2019-12-15,W
60,Indiana Pacers,105,Los Angeles Lakers,102,2019-12-17,W
37,Milwaukee Bucks,111,Los Angeles Lakers,104,2019-12-19,W
13,Los Angeles Lakers,104,Denver Nuggets,128,2019-12-22,W
8,Los Angeles Lakers,106,LA Clippers,111,2019-12-25,L
61,Portland Trail Blazers,120,Los Angeles Lakers,128,2019-12-28,W
21,Los Angeles Lakers,108,Dallas Mavericks,95,2019-12-29,W
40,Los Angeles Lakers,117,Phoenix Suns,107,2020-01-01,L
41,Los Angeles Lakers,123,New Orleans Pelicans,113,2020-01-03,W
22,Los Angeles Lakers,106,Detroit Pistons,99,2020-01-05,W
43,Los Angeles Lakers,117,New York Knicks,87,2020-01-07,W
23,Dallas Mavericks,114,Los Angeles Lakers,129,2020-01-10,W
48,Oklahoma City Thunder,110,Los Angeles Lakers,125,2020-01-11,W
44,Los Angeles Lakers,128,Cleveland Cavaliers,99,2020-01-13,W
62,Los Angeles Lakers,118,Orlando Magic,119,2020-01-15,L
49,Houston Rockets,115,Los Angeles Lakers,124,2020-01-18,L
38,Boston Celtics,139,Los Angeles Lakers,107,2020-01-20,W
45,New York Knicks,92,Los Angeles Lakers,100,2020-01-22,L
46,Brooklyn Nets,113,Los Angeles Lakers,128,2020-01-23,L
