id,phrases
0,"1.1 Queremos dejar atrás la pandemia con sensatez y evidencia científica, apostando por la apertura de la actividad con la máxima normalidad posible, alejados de prohibiciones arbitrarias y de la irresponsabilidad sanitaria. Trabajaremos con todos los Ayuntamientos de la Comunidad de Madrid para ampliar los espacios de terrazas al máximo y cederemos espacios públicos al aire libre para la celebración de eventos culturales, deportivos y de espectáculos. Nuestra región merece volver a la vida sin poner en riesgo la vida de sus ciudadanos. 1.2 Vacunaremos 24/7, incluyendo festivos y fines de semana. Madrid debe ser capaz de acelerar el proceso de vacunación consiguiendo administrar el 100% de las vacunas que recibe. 1.3 Pondremos en marcha nuestro Plan Integral de Rescate de 1.000 millones de euros en ayudas directas a empresas, autónomos, pymes y familias que impulsamos desde la Consejería de Economía de Cs y que el adelanto electoral dejó bloqueado. Más de 600 millones de euros para pymes y autónomos, con 235 millones de ayudas directas a fondo perdido 85 millones de euros a fondo perdido para la hostelería 100 millones de euros para la transformación digital de comercios y restauración 100 millones para la transformación y activación de las zonas industriales madrileñas 1.4 Las farmacias, clínicas odontológicas y clínicas veterinarias podrán vender y realizar test de detección COVID-19 por PCR, antígenos y anticuerpos a todos los ciudadanos, sin importar la zona en la que residan. Los resultados de estos test deberán comunicarse, de acuerdo a la legislación vigente, a las autoridades sanitarias para mejorar la información general sobre la situación epidemiológica de nuestro país. 1.5 Exigiremos al Gobierno central que prorrogue los ERTE y las ayudas a empresas y trabajadores hasta que se elimine cualquier tipo de restricción a la movilidad o a la actividad comercial. No vamos a tolerar que se abandone a los negocios que han conseguido mantener la actividad durante el último año, sobre todo en aquellos sectores que más tardarán en recuperar la actividad. 1.6 Incentivaremos la reconversión, formación y vuelta a la actividad de los trabajadores en ERTE. El Gobierno de Sánchez ha abandonado a los trabajadores en ERTE y no les ha ofrecido la oportunidad de formarse en nuevas habilidades, contenidos o incluso preparar su reconversión hacia otros sectores para mejorar su empleabilidad. Desde Cs nos aseguraremos de dotar a los trabajadores en ERTE de todas las herramientas formativas necesarias para asegurar su empleabilidad. 1.7 Facilitaremos que los comerciantes y hosteleros puedan mantener abiertos los interiores de sus negocios facilitándoles medidores de CO2 para asegurar una ventilación adecuada. Además, suprimiremos tasas y trámites al Ocio Nocturno para que el sector pueda sobrevivir hasta la reapertura de los locales o, si lo prefieren, puedan reconvertir sus negocios. 1.8 Seguiremos apoyando y simplificaremos los trámites al sector de la venta ambulante, muy afectado por la pandemia. Aprobaremos una Ley marco de venta ambulante o no sedentaria que establezca criterios claros y elimine burocracia para el desarrollo de esta actividad en todo el territorio madrileño. 1.9 Garantizaremos el uso eficiente y un reparto objetivo e independiente de los fondos europeos en la Comunidad de Madrid a través de la colaboración de la Administración autonómica, el sector privado y la sociedad civil. Haremos lo que el Gobierno de España se ha negado a hacer. Apostaremos por maximizar la rentabilidad social y económica de los proyectos a través de la evaluación ex ante de los mismos, el seguimiento en la implementación y la evaluación de impacto posterior con una clara estrategia de colaboración con el sector privado. 1.10 Exigiremos al Gobierno de España un calendario de hitos de vacunación para dar certidumbre sobre la vuelta a la normalidad. A medida que avance la inmunización en la población, deberán reevaluar las restricciones a la movilidad, la actividad comercial, así como la obligatoriedad de la mascarilla en espacios abiertos, el aumento de los aforos en interiores y exteriores y el aumento del número de personas no convivientes en reuniones, entre otras, siguiendo criterios objetivos, técnicos y transparentes. 1.11 Garantizaremos la transparencia durante todo el proceso de vacunación y sancionaremos a quienes se salten los protocolos en beneficio propio. Exigiremos a todas las formaciones políticas asuman un compromiso ético para pedir la dimisión o destituir automáticamente a cualquier cargo político que incumpla los protocolos de vacunación con el objetivo de obtener una vacuna en beneficio propio o de los suyos. 1.12 Combatiremos las tesis anti-vacunación alejadas del rigor científico y promoveremos la vacunación con campañas específicas. El próximo gobierno regional suscribirá el fomento de la vacunación y combatirá los discursos anti-vacunación que pueden poner en riesgo la salud de los madrileños. Apostaremos, asimismo, por reivindicar el rigor científico frente a las teorías de la conspiración."
1,"1.1 Queremos dejar atrás la pandemia con sensatez y evidencia científica, apostando por la apertura de la actividad con la máxima normalidad posible, alejados de prohibiciones arbitrarias y de la irresponsabilidad sanitaria. Trabajaremos con todos los Ayuntamientos de la Comunidad de Madrid para ampliar los espacios de terrazas al máximo y cederemos espacios públicos al aire libre para la celebración de eventos culturales, deportivos y de espectáculos. Nuestra región merece volver a la vida sin poner en riesgo la vida de sus ciudadanos."
2,"1.2 Vacunaremos 24/7, incluyendo festivos y fines de semana. Madrid debe ser capaz de acelerar el proceso de vacunación consiguiendo administrar el 100% de las vacunas que recibe."
3,"1.3 Pondremos en marcha nuestro Plan Integral de Rescate de 1.000 millones de euros en ayudas directas a empresas, autónomos, pymes y familias que impulsamos desde la Consejería de Economía de Cs y que el adelanto electoral dejó bloqueado. Más de 600 millones de euros para pymes y autónomos, con 235 millones de ayudas directas a fondo perdido 85 millones de euros a fondo perdido para la hostelería 100 millones de euros para la transformación digital de comercios y restauración 100 millones para la transformación y activación de las zonas industriales madrileñas"
4,"Más de 600 millones de euros para pymes y autónomos, con 235 millones de ayudas directas a fondo perdido"
5,85 millones de euros a fondo perdido para la hostelería
6,100 millones de euros para la transformación digital de comercios y restauración
7,100 millones para la transformación y activación de las zonas industriales madrileñas
8,"1.4 Las farmacias, clínicas odontológicas y clínicas veterinarias podrán vender y realizar test de detección COVID-19 por PCR, antígenos y anticuerpos a todos los ciudadanos, sin importar la zona en la que residan. Los resultados de estos test deberán comunicarse, de acuerdo a la legislación vigente, a las autoridades sanitarias para mejorar la información general sobre la situación epidemiológica de nuestro país."
9,"1.5 Exigiremos al Gobierno central que prorrogue los ERTE y las ayudas a empresas y trabajadores hasta que se elimine cualquier tipo de restricción a la movilidad o a la actividad comercial. No vamos a tolerar que se abandone a los negocios que han conseguido mantener la actividad durante el último año, sobre todo en aquellos sectores que más tardarán en recuperar la actividad."
10,"1.6 Incentivaremos la reconversión, formación y vuelta a la actividad de los trabajadores en ERTE. El Gobierno de Sánchez ha abandonado a los trabajadores en ERTE y no les ha ofrecido la oportunidad de formarse en nuevas habilidades, contenidos o incluso preparar su reconversión hacia otros sectores para mejorar su empleabilidad. Desde Cs nos aseguraremos de dotar a los trabajadores en ERTE de todas las herramientas formativas necesarias para asegurar su empleabilidad."
11,"1.7 Facilitaremos que los comerciantes y hosteleros puedan mantener abiertos los interiores de sus negocios facilitándoles medidores de CO2 para asegurar una ventilación adecuada. Además, suprimiremos tasas y trámites al Ocio Nocturno para que el sector pueda sobrevivir hasta la reapertura de los locales o, si lo prefieren, puedan reconvertir sus negocios."
