id,phrases
0,Programa electoral para las elecciones autonómicas 2021
1,"Han pasado dos años desde las últimas elecciones. Dos años en los que, desde el Gobierno de la Comunidad de Madrid, hemos defendido nuestra Libertad y nuestra forma de vida. Lo hemos hecho en las circunstancias más duras posibles, pero rodeados de los mejores. En algunos momentos, al límite de nuestras fuerzas y sorteando los obstáculos que nos ponían… pero Madrid siempre hace honor a su historia: Madrid resiste."
2,"Resistimos unidos a pesar de todo y de todos. Y como podrá verse a continuación, incluso en la situación excepcional que atravesamos, ya hemos cumplido gran parte de nuestro programa electoral de 2019. Madrid no se para y, por eso, proponemos un centenar de nuevas medidas para consolidar el avance de nuestra economía y seguir garantizando nuestra Libertad."
3,"Cada día me enamoro de todo lo que estamos construyendo en nuestra comunidad. Madrid tiene un gran futuro por delante. En este tiempo, nos hemos convertido en la primera economía de España y disfrutamos de la Libertad que ha hecho de nuestra región un polo de atracción social, cultural y de crecimiento económico, cargado de humanidad e ilusión."
4,"Defendemos un modelo reformista y liberal, inspirado en el consenso constitucional de 1978 y comprometido con la unidad de España y la monarquía parlamentaria. Un modelo que funciona desde hace 25 años en nuestra región y que ha permitido que todos los madrileños puedan desarrollar su propio proyecto de vida."
5,"El crecimiento económico, la expansión de las clases medias, la atracción de empresas y talento y los servicios públicos eficaces responden a este modelo político liberal y aperturista. Es el modelo que recoge el programa electoral que tienes en tus manos y que se puede resumir en una sola idea: Libertad."
6,"Libertad educativa, para que sean las familias y no los gobiernos quienes decidan cómo educar a sus hijos; libertad para elegir qué médico y hospital queremos que nos atienda; libertad para desembarazarse del exceso de burocracia; libertad de iniciativa económica para ayudar a los autónomos y a las empresas a sacar adelante sus proyectos y crear empleo; libertad de horarios para consolidar un comercio competitivo y adaptado a las nuevas tecnologías."
7,"Libertad, en definitiva, para que nadie imponga unaforma de vivir, pensar o sentir."
8,Para vivir a la madrileña.
9,Isabel Díaz Ayuso
10,"La manera de vivir en la Comunidad de Madrid es un canto a la LIBERTAD; una hermosa melodía que acompaña el devenir de los madrileños y que inspira también a todos aquellos que residen aquí, con independencia de donde hayan nacido o a lo que se dediquen. Este es un lugar en el que se respeta al individuo y donde no se deja a nadie atrás, porque están arraigados unos servicios públicos de excelente calidad y eficiencia, donde se apoya a cualquiera que esté necesitado o busque una oportunidad de trabajo, residencia o inversión."
11,"Con estos cimientos, cuando el gobierno de la Comunidad de Madrid se constituyó en agosto del 2019 se inició la puesta en marcha de las medidas contenidas en el programa electoral de Isabel Díaz Ayuso, así como de las 155 medidas del programa de gobierno. Fueron siete meses de una labor muy fructífera en los que se sentaron las bases para el cumplimiento de unas actuaciones que mejoraban la vida, la situación económica y los servicios públicos de los madrileños."
