,id,p0_c1,party_id,candidate_id,phrase,date
0,1,1,4,1,Edmundo Bal ha sido el primero en votar y Ángel Gabilondo el último.,2021-05-04
1,2,1,4,1,El último en votar Ángel Gabilondo.,2021-05-04
2,3,1,4,1,El socialista Ángel Gabilondo ha visitado el hotel que mañana se convertirá en su cuartel general.,2021-05-03
3,4,1,4,1,"También a mi me decían que era imposible ganar en Cataluña al independentismo, pues ganamos al independentismo y lo hicimos sin trincheras, apostando por la unidad y apostando por el diálogo y eso es lo que Gabilondo representa en Madrid, por eso sé Ángel que vas a ganar.",2021-05-01
4,5,1,4,1,Ángel Gabilondo anunció que sería su vicepresidenta económica en caso de ganar.,2021-04-26
5,6,1,4,1,Pablo Iglesias Rocío Monasterio Mónica García Isabel Díaz Ayuso Ángel Gabilondo Edmundo Bal Ciudadanos.,2021-04-21
6,7,1,4,1,"Pedro Sánchez ha arropado hoy a Ángel Gabilondo, en su primer acto de campaña oficial.",2021-04-18
7,8,1,4,1,"Madrid deberá optar entre dos caminos, muy claros, muy definidos, el camino de la recuperación justa con un Gobierno serio, liderado por el Partido Socialista y Ángel Gabilondo o el camino del Gobierno de Colón, que significa exclusión social, ultraderecha y corrupción.",2021-04-18
8,9,1,4,1,"El candidato socialista Ángel Gabilondo ha anunciado que si gobierna, la ministra Reyes Maroto será su vicepresidenta económica.",2021-04-16
9,10,1,4,1,Se refiere al anuncio de hoy del socialista Ángel Gabilondo: la ministra Reyes Maroto será su vicepresidenta económica si gana las elecciones.,2021-04-16
10,11,1,4,1,"Precisamente por los ataques injustos y desmesurados que hemos sufrido. arropado por la vicepresidenta Carmen Calvo, Ángel Gabilondo acusa a la presidenta madrileña de atacar al Gobierno de Sánchez.",2021-04-10
11,12,1,4,1,"Aunque el candidato mejor valorado es Ángel Gabilondo, el único que aprueba.",2021-04-05
12,13,1,4,1,Insiste en que Ángel Gabilondo es la única alternativa frente a la ultra derecha.,2021-04-04
13,14,1,4,1,"-Porque no habla Ángel Gabilondo, habla Pedro Sánchez, que todos los madrileños lo tengan claro, aquí no se elige al candidato Ángel Gabilondo, aquí se elige a Pedro Sánchez cuando se vota al partido socialista El candidato de Ciudadanos, Edmundo Bal, sigue de precampaña.",2021-04-04
14,15,1,4,1,El PSOE ha colocado un cartel de grandes dimensiones de Ángel Gabilondo en la céntrica plaza de Callao.,2021-04-02
15,16,1,4,1,"El candidato socialista, Ángel Gabilondo, pide que no se crispe la campaña después del incidente de ayer cuando varios ultra increparon al líder de Unidas Podemos.",2021-03-31
16,17,1,4,1,"Quien quiera estar en un Gobierno progresista, liderado por PSOE y Ángel Gabilondo deberá renunciar al extremismo.",2021-03-27
17,18,1,4,1,"Quien quiera estar en un Gobierno progresista, liderado por PSOE y Ángel Gabilondo deberá renunciar al extremismo.",2021-03-27
18,19,1,4,1,Ángel Gabilondo se reafirma.,2021-03-23
19,20,1,4,1,Ángel Gabilondo descarta pactar con Pablo Iglesias.,2021-03-22
20,21,1,4,1,"Ángel Gabilondo descarta pactar con Pablo Iglesias porque dice, le intranquiliza.",2021-03-22
21,22,1,4,1,El socialista Ángel Gabilondo quiere a los votantes de Ciudadanos.,2021-03-21
22,23,1,4,1,El socialista Ángel Gabilondo hace un llamamiento a los votantes de Ciudadanos.,2021-03-21
