id,link,content,start_time,end_time,programme_id,programme_date
"_k5SOnkBPi8lGtl1oLjP","https://www.rtve.es/v/5894875/?t=00h19m27s","Edmundo Bal ha sido el primero en votar y Ángel Gabilondo el último.",1167,1170,5894875,"2021-05-04T15:00:00+00:00"
"AU5SOnkBPi8lGtl1oLng","https://www.rtve.es/v/5894875/?t=00h19m53s","El último en votar Ángel Gabilondo.",1193,1195,5894875,"2021-05-04T15:00:00+00:00"
"FE5SOnkBPi8lGtl10L6n","https://www.rtve.es/v/5894158/?t=00h07m49s","El socialista Ángel Gabilondo ha visitado el hotel que mañana se convertirá en su cuartel general.",469,475,5894158,"2021-05-03T21:00:00+00:00"
"cE5SOnkBPi8lGtl1u7rh","https://www.rtve.es/v/5893364/?t=00h04m20s","Han coincidido en el acto del Día de la Comunidad donde ha habido saludos y también reproches, como este de Monasterio a Gabilondo.",260,264,5893364,"2021-05-02T15:00:00+00:00"
"B05SOnkBPi8lGtl14sAo","https://www.rtve.es/v/5893145/?t=00h05m57s","El ex ministro asegura que como hizo él en Cataluña, Gabilondo ganará y las elecciones para frenar la política, dice, de la división.",357,362,5893145,"2021-05-01T21:00:00+00:00"
"CE5SOnkBPi8lGtl14sAr","https://www.rtve.es/v/5893145/?t=00h06m05s","También a mi me decían que era imposible ganar en Cataluña al independentismo, pues ganamos al independentismo y lo hicimos sin trincheras, apostando por la unidad y apostando por el diálogo y eso es lo que Gabilondo representa en Madrid, por eso sé Ángel que vas a ganar.",365,370,5893145,"2021-05-01T21:00:00+00:00"
"CU5SOnkBPi8lGtl14sAv","https://www.rtve.es/v/5893145/?t=00h06m27s","En el sprint final Gabilondo pide un último esfuerzo en las urnas para cambiar al gobierno de Madrid.",387,392,5893145,"2021-05-01T21:00:00+00:00"
"Gk5SOnkBPi8lGtl14sBu","https://www.rtve.es/v/5893145/?t=00h08m03s","Nosotros somos el partido que encarna los valores del raciocinio, no vamos a permitir que gobierne Iglesias con Gabilondo y Gabilondo con Iglesias y que cunda ese enfrentamiento.",483,487,5893145,"2021-05-01T21:00:00+00:00"
"clGyJXkBqRF3wowutr9g","https://www.rtve.es/v/5892806/?t=00h17m34s","-Frente a la agenda del enfrentamiento de Gabilondo y de Iglesias.",1054,1057,5892806,"2021-04-30T21:00:00+00:00"
"L1GyJXkBqRF3wowu3cFu","https://www.rtve.es/v/5891769/?t=00h17m26s","Gabilondo aspira a liderar la recuperación económica de Madrid tras la pandemia con un presupuesto que ya tiene calculado.",1046,1050,5891769,"2021-04-29T21:00:00+00:00"
