id,link,content,start_time,end_time,programme_id,programme_date
"LU5SOnkBPi8lGtl1x7xu","https://www.rtve.es/v/5893944/?t=00h06m00s","Y Edmundo Bal, el candidato de Ciudadanos, ha empezado la mañana corriendo 14 km por el anillo ciclista cercano a su casa.",360,363,5893944,"2021-05-03T15:00:00+00:00"
"ySGLIHkBdECH5kyrHaAT","https://www.rtve.es/v/5891487/?t=00h11m53s","A dos ruedas y rodeado de sus compañeros de partido moteros ha llegado el candidato de Ciudadanos al acto de hoy.",713,717,5891487,"2021-04-29T15:00:00+00:00"
"6KRjG3kBmsWmy2c18vgx","https://www.rtve.es/v/5890539/?t=00h14m49s","El candidato de Ciudadanos se ha dirigido a sus rivales.",889,893,5890539,"2021-04-28T15:00:00+00:00"
"jcDwC3kBHY93B332H6Bl","https://www.rtve.es/v/5887890/?t=00h06m36s","El candidato de Ciudadanos también ha tenido palabras para él.",396,400,5887890,"2021-04-25T21:00:00+00:00"
"Q_OmAXkBDXoPkEuGyPZK","https://www.rtve.es/v/5887163/?t=00h09m07s","El candidato de Ciudadanos ha calificado de penoso lo sucedido esta mañana.",547,550,5887163,"2021-04-23T21:00:00+00:00"
"Qv0J7XgBsMV3KQ8DCipX","https://www.rtve.es/v/5857912/?t=00h18m24s","Lo que no puede hacer el gobierno es aprovechar la pandemia para arruinar, para cerrar y para prohibir"" El candidato de Ciudadanos promete acabar con la temporalidad en la administración.",1104,1107,5857912,"2021-04-19T15:00:00+00:00"
"RP0J7XgBsMV3KQ8DCipj","https://www.rtve.es/v/5857912/?t=00h18m39s","Alerta de que gobiernen los extremos El candidato de Ciudadanos promete acabar con la temporalidad en la administración.",1119,1127,5857912,"2021-04-19T15:00:00+00:00"
"ioya3XgBwhxAE5hysdLx","https://www.rtve.es/v/5856070/?t=00h09m16s","El candidato de Ciudadanos dice que estas vicepresidencias nunca han existido en el Gobierno de Madrid.",556,559,5856070,"2021-04-16T15:00:00+00:00"
"DbbXw3gBGqs3t8-hnNvZ","https://www.rtve.es/v/5839061/?t=00h22m04s","El candidato de Ciudadanos pide acabar con la confrontación y exige unidad en la vacunación.",1324,1328,5839061,"2021-04-11T21:00:00+00:00"
"sLbXw3gBGqs3t8-hqtwQ","https://www.rtve.es/v/5838983/?t=00h19m02s","Por Edmundo se leía hoy en la camiseta del Candidato de Ciudadanos en una carrera popular.",1142,1146,5838983,"2021-04-11T15:00:00+00:00"
"jQnKn3gBJPFmAz34zUSd","https://www.rtve.es/v/5833665/?t=00h31m19s","-Porque no habla Ángel Gabilondo, habla Pedro Sánchez, que todos los madrileños lo tengan claro, aquí no se elige al candidato Ángel Gabilondo, aquí se elige a Pedro Sánchez cuando se vota al partido socialista El candidato de Ciudadanos, Edmundo Bal, sigue de precampaña.",1879,1882,5833665,"2021-04-04T15:00:00+00:00"
"xdd9lXgBfuxOsOWky4FV","https://www.rtve.es/v/5833196/?t=00h16m23s","El día nos deja también la imagen del candidato de Ciudadanos junto a Inés Arrimadas.",983,988,5833196,"2021-04-02T21:00:00+00:00"
"bdd9lXgBfuxOsOWk-YNt","https://www.rtve.es/v/5833133/?t=00h20m07s","Inés Arrimadas ha arropado al candidato de Ciudadanos, Edmundo Bal.",1207,1212,5833133,"2021-04-02T15:56:00+00:00"
"eok1YngBMOeau0gGE8tP","https://www.rtve.es/v/5824628/?t=00h23m15s","Respuesta al candidato del PSOE que en un debate crispado ha cargado contra Ciudadanos por traicionar, dice, sus promesas de regeneración.",1395,1397,5824628,"2021-03-22T21:00:00+00:00"
"JJIRXXgB3X49FN8d-erq","https://www.rtve.es/v/5824310/?t=00h16m01s","El candidato del PSOE califica así el gobierno de coalición entre PP y Ciudadanos Y hace un llamamiento para que la moción que ha presentando en solitario prospere LUIS TUDANCA PSOE.",961,963,5824310,"2021-03-22T15:00:00+00:00"
"4MScTXgBxfAj-snAufYb","https://www.rtve.es/v/5822706/?t=00h02m05s","Otros paises como Noruega o Dinamarca, esperarán a los informes de sus propias agencias Ángel Garrido, que fue presidente de Madrid con el PP, es la última baja en Ciudadanos -Ha anunciado que abandona la política un día después de que el partido naranja confirmara que Edmundo Bal será el candidato para las elecciones en la comunidad de Madrid.",125,129,5822706,"2021-03-19T15:00:00+00:00"
"w8ScTXgBxfAj-snAxPgi","https://www.rtve.es/v/5822230/?t=00h03m12s","Y en Madrid, Edmundo Bal será candidato a las primarias de Ciudadanos para las elecciones del 4 de mayo... en lugar de Ignacio Aguado.",192,194,5822230,"2021-03-19T07:30:00+00:00"
"Q8ScTXgBxfAj-snAxvl4","https://www.rtve.es/v/5822230/?t=00h18m01s","Edmundo Bal da un paso adelante y se presenta a las primarias para ser el candidato de Ciudadanos en la comunidad de Madrid porque dice, está dispuesto a asumir el reto.",1081,1088,5822230,"2021-03-19T07:30:00+00:00"
"zpIRXXgB3X49FN8d7edE","https://www.rtve.es/v/5822140/?t=00h03m11s","Y en Madrid, Edmundo Bal será candidato a las primarias de Ciudadanos para las elecciones del 4 de mayo... en lugar de Ignacio Aguado.",191,192,5822140,"2021-03-18T21:00:00+00:00"
"TpIRXXgB3X49FN8d7-jA","https://www.rtve.es/v/5822140/?t=00h18m00s","Edmundo Bal da un paso adelante y se presenta a las primarias para ser el candidato de Ciudadanos en la comunidad de Madrid porque dice, está dispuesto a asumir el reto.",1080,1087,5822140,"2021-03-18T21:00:00+00:00"
"g6IpPngBStd6-SGMimlw","https://www.rtve.es/v/5819754/?t=00h19m51s","Ignacio Aguado, que quiere repetir como candidato de Ciudadanos, no rechaza entenderse con Ayuso después de las elecciones, aunque su ruptura está muy reciente.",1191,1195,5819754,"2021-03-16T15:00:00+00:00"
"aliQKXgB4HE0IwZJ9pjm","https://www.rtve.es/v/5817482/?t=00h13m39s","Quien no está confirmado como candidato de Ciudadanos es Aguado.",819,824,5817482,"2021-03-12T21:00:00+00:00"
"bFiQKXgB4HE0IwZJ9pj3","https://www.rtve.es/v/5817482/?t=00h13m49s","-Yo tengo el apoyo de Inés y de todo el partido para seguir trabajando y si los afiliados en las primarias me dan su confianza yo quiero seguir no solamente siendo candidato de Ciudadanos; es que quiero presidir la Comunidad de Madrid.",829,834,5817482,"2021-03-12T21:00:00+00:00"
