id,link,content,start_time,end_time,programme_id,programme_date
"E05SOnkBPi8lGtl10L6k","https://www.rtve.es/v/5894158/?t=00h07m37s","La candidata del PP ha arrancado esta jornada de reflexión en el centro de datos, donde le han explicado todos los detalles del dispositivo electoral.",457,462,5894158,"2021-05-03T21:00:00+00:00"
"J05SOnkBPi8lGtl1x7xZ","https://www.rtve.es/v/5893944/?t=00h05m24s","Y donde la candidata del PP ha empezado hoy su agenda.",324,329,5893944,"2021-05-03T15:00:00+00:00"
"c05SOnkBPi8lGtl1u7ru","https://www.rtve.es/v/5893364/?t=00h04m43s","Un micro abierto, ha cazado estas palabras de la candidata del PP.",283,285,5893364,"2021-05-02T15:00:00+00:00"
"e1GyJXkBqRF3wowutr-X","https://www.rtve.es/v/5892806/?t=00h18m37s","Como el PSOE, la candidata del PP también ha estado en el sur de la comunidad.",1117,1119,5892806,"2021-04-30T21:00:00+00:00"
"oVGyJXkBqRF3wowumL0e","https://www.rtve.es/v/5892546/?t=00h20m27s","La candidata del PP mantiene que pactar con VOX ""no sería el fin del mundo"".",1227,1229,5892546,"2021-04-30T15:00:00+00:00"
"wSGLIHkBdECH5kyrHKDf","https://www.rtve.es/v/5891487/?t=00h11m14s","Y todo se convierte en electoral, desde luego la corrida de toros, también es un acto que tiene esa dimensión"" Lo ha dicho en Radio Nacional donde ha coincidido a pocos metros de la candidata del PP, que afirma que ir a las Ventas es seguro.",674,675,5891487,"2021-04-29T15:00:00+00:00"
"zyGLIHkBdECH5kyrHaA4","https://www.rtve.es/v/5891487/?t=00h12m32s","Desde el sur de la capital, la candidata de Más Madrid ha pedido movilización para acabar con 26 años de gobierno del PP.",752,754,5891487,"2021-04-29T15:00:00+00:00"
"cuQ9FnkB9v8V8UTR_MUu","https://www.rtve.es/v/5889655/?t=00h01m39s","Falta una semana para las elecciones en la comunidad de Madrid y los partidos hablan ya de apoyos y vetos la candidata del PP descarta el cordón sanitario a Vox que propone el Psoe y pide a la izquierda que le apoye si quiere evitar a Vox, el candidato socialista lo descarta y defiende un gobierno progresista El País Vasco es la comunidad con mayor incidencia de Covid y Guipuzcoa casi triplica la media nacional de contagios: 730 por cada 100.000 habitantes.",99,103,5889655,"2021-04-27T15:00:00+00:00"
"RMDwC3kBHY93B332MKJt","https://www.rtve.es/v/5887800/?t=00h06m01s","Hoy la candidata del PP vuelve a hacer un llamamiento a la concordia.",361,363,5887800,"2021-04-25T15:00:00+00:00"
"NUTJBnkBqPGex-zKBFWQ","https://www.rtve.es/v/5887580/?t=00h02m32s","La candidata del PP sigue aspirando a poder formar Gobierno en solitario, pero no descarta incorporar fichajes de Ciudadanos y Vox como gestores.",152,154,5887580,"2021-04-24T21:00:00+00:00"
"OvOmAXkBDXoPkEuGyPYf","https://www.rtve.es/v/5887163/?t=00h07m37s","La candidata del PP, la única que ha rechazado ir al debate, esta tarde ha condenado todo tipo de violencia.",457,460,5887163,"2021-04-23T21:00:00+00:00"
"1qlY93gBk2RQE5bLEqV0","https://www.rtve.es/v/5865353/?t=00h15m22s","Llegan en situación muy distintas, en cabeza con el viento de popa la candidata del PP, Isabel Díaz Ayuso, que tendría que conseguir el apoyo de VOX para llegar a los 69 diputados, si no se consigue se abre la posibilidad a un tripartito de izquierdas.",922,926,5865353,"2021-04-21T21:00:00+00:00"
"Pv0J7XgBsMV3KQ8DCipC","https://www.rtve.es/v/5857912/?t=00h18m00s","La candidata del PP defiende que dos días antes de los comicios, coincidiendo con el día de la Comunidad de Madrid, se celebre el tradicional festival taurino tras año y medio de parón en Las Ventas.",1080,1084,5857912,"2021-04-19T15:00:00+00:00"
"QP0J7XgBsMV3KQ8DCipM","https://www.rtve.es/v/5857912/?t=00h18m11s","La candidata del PP defiende que dos días antes de los comicios, coincidiendo con el día de la Comunidad de Madrid, se celebre el tradicional festival taurino tras año y medio de parón en Las Ventas.",1091,1094,5857912,"2021-04-19T15:00:00+00:00"
"hZvk53gB-FxU3KQ80Ts2","https://www.rtve.es/v/5857158/?t=00h04m43s","Hoy Sánchez no ha se ha referido a Ayuso, pero sí lo ha hecho Gabilondo, para decir que la candidata del PP solo tiene una palabra en la boca ""Sánchez"".",283,286,5857158,"2021-04-18T21:00:00+00:00"
"ypvk53gB-FxU3KQ8kTkP","https://www.rtve.es/v/5857034/?t=00h05m56s","La candidata del PP dice que ve ilusión, pero advierte que no sobra ni un voto ni un escaño.",356,359,5857034,"2021-04-18T15:00:00+00:00"
"zJvk53gB-FxU3KQ8kTkf","https://www.rtve.es/v/5857034/?t=00h06m05s","La candidata del PP dice que el socialismo es una máquina de generar pobreza y ataca de nuevo a Pedro Sánchez.",365,368,5857034,"2021-04-18T15:00:00+00:00"
"UYya3XgBwhxAE5hy6Nbm","https://www.rtve.es/v/5854133/?t=00h19m30s","La candidata del PP ha estado esta tarde en San Sebastián de los Reyes en un acto junto a Toni Canto, aunque su candidatura sigue pendiente del Constitucional.",1170,1174,5854133,"2021-04-14T21:00:00+00:00"
"Y6pDH3gBJ08gZNOFC_KS","https://www.rtve.es/v/5815068/?t=00h10m16s","También el acuerdo que se hizo público ayer entre PP y VOX para los próximos presupuestos con el ""Pin Parental"", son algunas de las raciones esgrimidas por la candidata, la que ha sido portavoz del ejecutivo murciano, que es la coordinadora regional de Ciudadanos, y le sustituiría al frente de la presidencia.",616,620,5815068,"2021-03-10T15:00:00+00:00"
