id,link,content,start_time,end_time,programme_id,programme_date
"Dk5SOnkBPi8lGtl1obkm","https://www.rtve.es/v/5894875/?t=00h21m05s","A Mónica García, candidata de Más Madrid, no la hemos visto votar.",1265,1269,5894875,"2021-05-04T15:00:00+00:00"
"gE5SOnkBPi8lGtl1vLoh","https://www.rtve.es/v/5893364/?t=00h05m59s","La candidata de Más Madrid no se ha quedado hasta el final.",359,363,5893364,"2021-05-02T15:00:00+00:00"
"zyGLIHkBdECH5kyrHaA4","https://www.rtve.es/v/5891487/?t=00h12m32s","Desde el sur de la capital, la candidata de Más Madrid ha pedido movilización para acabar con 26 años de gobierno del PP.",752,754,5891487,"2021-04-29T15:00:00+00:00"
"XUTJBnkBqPGex-zKOFaH","https://www.rtve.es/v/5887472/?t=00h06m22s","Es la hoja de ruta que la candidata de Más Madrid, se marca, en un Video promocionado por su partido.",382,384,5887472,"2021-04-24T15:00:00+00:00"
"IfOmAXkBDXoPkEuGx_as","https://www.rtve.es/v/5887163/?t=00h04m50s","Lo pedían el candidato del PSOE y la candidata de Más Madrid.",290,295,5887163,"2021-04-23T21:00:00+00:00"
"QPOmAXkBDXoPkEuGyPY7","https://www.rtve.es/v/5887163/?t=00h08m16s","-Esos discursos de odio, de provocación se creen que caen en el vacío pero hay mucho descerebrado por ahí que se hace eco de los mismos"" -Hemos asistido a la exaltación de valores antidemocráticos, de valores fascistas, tienen que ser vencidos como vencemos en democracia, en las urnas"" Por eso, esperan que estas polémicas con VOX Más Madrid ha convocado esta misma tarde pero sin la candidata.",496,502,5887163,"2021-04-23T21:00:00+00:00"
"3fOmAXkBDXoPkEuG2_dU","https://www.rtve.es/v/5875503/?t=00h06m58s","Es un rebaño de Soto del Real, donde ha estado hoy la candidata de Más Madrid.",418,421,5875503,"2021-04-22T21:00:00+00:00"
"kdB8_HgBgrBJfNMhQS8U","https://www.rtve.es/v/5875214/?t=00h10m05s","La candidata de Más Madrid, desde la localidad de Soto del Real, ha asegurado que resultados de la encuesta demuestran que su formación empuja al bloque progresista.",605,608,5875214,"2021-04-22T15:00:00+00:00"
"yKlY93gBk2RQE5bLGqYc","https://www.rtve.es/v/5859407/?t=00h13m54s","Fuentes de Génova rechazan el cartel y hoy su candidata ha sorprendido con este anuncio: Por ahora, vamos a seguir manteniendo este toque hasta las once, que para una ciudad como Madrid que es un cierre importantísimo, con las restricciones de no más reuniones de 4 dentro y de 6 fuera en la hostelería, que las personas intentar que no se reúnan en las casas.",834,837,5859407,"2021-04-20T21:00:00+00:00"
"Hboy8ngB_efe5Kw3TweA","https://www.rtve.es/v/5858209/?t=00h14m29s","También la candidata de Más Madrid.",869,876,5858209,"2021-04-19T21:00:00+00:00"
"j5vk53gB-FxU3KQ80TuH","https://www.rtve.es/v/5857158/?t=00h05m42s","""Si quiere nos vamos un día a correr las dos 10 km y le demuestro que es verdad Mónica: Señora Ayuso llevo corriendo desde los 10 años La candidata de Más Madrid le pide que se centre en Madrid en vez de en su partido.",342,346,5857158,"2021-04-18T21:00:00+00:00"
"NHu84ngBNLe3thGbav6H","https://www.rtve.es/v/5856780/?t=00h15m06s","""Por lo que de verdad importa"", en el lema, con el que, Mónica García la candidata de Más Madrid, inicia la campaña.",906,909,5856780,"2021-04-17T21:00:00+00:00"
"gIya3XgBwhxAE5hysdKv","https://www.rtve.es/v/5856070/?t=00h08m17s","Y la candidata de Más Madrid lo que le preocupa es la vacunación en los centros de salud que Ayuso, dice, ha dejado sin recursos.",497,500,5856070,"2021-04-16T15:00:00+00:00"
"lwnKn3gBJPFmAz34zUTO","https://www.rtve.es/v/5833665/?t=00h32m09s","La candidata de Más Madrid, también pide a los madrileños que salgan a votar.",1929,1933,5833665,"2021-04-04T15:00:00+00:00"
"fZIRXXgB3X49FN8dtebn","https://www.rtve.es/v/5823699/?t=00h18m01s","La militancia de Más Madrid confirma a la candidata, Mónica García.",1081,1085,5823699,"2021-03-21T21:00:00+00:00"
"E2lQQ3gB1_ooFVKqn_hs","https://www.rtve.es/v/5820044/?t=00h01m08s","Esa era la respuesta de Mónica García, la candidata de Más Madrid, que ha recibido el apoyo de Errejón en Twitter.",68,69,5820044,"2021-03-16T21:00:00+00:00"
"imlQQ3gB1_ooFVKqovgD","https://www.rtve.es/v/5820044/?t=00h15m07s","Así respondía la candidata de Más Madrid, Mónica García, a la oferta de Pablo Iglesias para ir juntos el 4 de mayo en las elecciones de Madrid.",907,909,5820044,"2021-03-16T21:00:00+00:00"
"BaIpPngBStd6-SGMh2lf","https://www.rtve.es/v/5819754/?t=00h02m05s","Las mujeres estamos cansados de hacer el trabajo sucio, Iñigo Errejón sigue sin hacer declaraciones, para que en el momento histórico, pero ha apoyado en Twitter a la candidata de Más Madrid nos pidan que nos apartemos. y Iglesias ha lamentado la decisión de sus antiguos compañeros de partido.",125,128,5819754,"2021-03-16T15:00:00+00:00"
"U9UCOXgB78TwBpLk0dKE","https://www.rtve.es/v/5818809/?t=00h01m54s","Iñigo Errejón guarda silencio, pero la candidata de Más Madrid dice que se sentarán a hablar con Iglesias.",114,116,5818809,"2021-03-15T15:00:00+00:00"
