id,link,content,start_time,end_time,programme_id,programme_date
"O05SOnkBPi8lGtl1lbeG","https://www.rtve.es/v/5893472/?t=00h12m23s","Por ese motivo no ha estado el candidato de Unidas Podemos.",743,747,5893472,"2021-05-02T21:00:00+00:00"
"TyGLIHkBdECH5kyrSKLL","https://www.rtve.es/v/5890828/?t=00h01m06s","Las fuerzas de seguridad investigan las cartas con amenazas de muerte que han recibido en las últimas horas el expresidente Rodríguez Zapatero, la presidenta madrileña Díaz Ayuso y el candidato de Unidas Podemos, Pablo Iglesias.",66,68,5890828,"2021-04-28T21:00:00+00:00"
"6qRjG3kBmsWmy2c18vhF","https://www.rtve.es/v/5890539/?t=00h14m57s","VOX vuelve a señalar al candidato de Unidas Podemos.",897,901,5890539,"2021-04-28T15:00:00+00:00"
"8qRjG3kBmsWmy2c18vhr","https://www.rtve.es/v/5890539/?t=00h15m38s","Vuelve a señalar al candidato de Unidas Podemos.",938,941,5890539,"2021-04-28T15:00:00+00:00"
"YsDwC3kBHY93B332HqAW","https://www.rtve.es/v/5887890/?t=00h02m16s","Es la imagen escaneada de las tres cartas con amenazas de muerte y que contenían balas que recibieron el ministro del Interior, la directora general de la Guardia civil y el candidato de Unidas Podemos a la Comunidad de Madrid.",136,138,5887890,"2021-04-25T21:00:00+00:00"
"msDwC3kBHY93B332H6C1","https://www.rtve.es/v/5887890/?t=00h07m51s","Correos ha expedientado a la subcontrata que se encarga de revisar la correspondencia y pide el relevo de la persona que no detectó la munición dirigida al ministro del Interior, a la directora de la Guardia Civil y al candidato a la Comunidad de Madrid de Unidas Podemos.",471,473,5887890,"2021-04-25T21:00:00+00:00"
"H8DwC3kBHY93B332L6Ku","https://www.rtve.es/v/5887800/?t=00h01m40s","Es la imagen escaneada de las tres cartas con amenazas de muerte y que contenían balas que recibieron el ministro del Interior, la directora general de la Guardia civil y el candidato de Unidas Podemos a la Comunidad de Madrid.",100,102,5887800,"2021-04-25T15:00:00+00:00"
"SsDwC3kBHY93B332MKKN","https://www.rtve.es/v/5887800/?t=00h06m29s","Se ha acercado a visitar las carpas del partido pese a la lluvia y ha criticado que Gabilondo se haya arrojado, dice, en brazos de Iglesias y que el candidato de Unidas Podemos se haya apropiado del termino demócrata.",389,393,5887800,"2021-04-25T15:00:00+00:00"
"YsDwC3kBHY93B332MaII","https://www.rtve.es/v/5887800/?t=00h09m02s","Correos expedienta a la empresa de seguridad encargada de escanear la correspondencia por no detectar la munición dirigida al ministro del Interior, a la directora general de la Guardia Civil y al candidato a la Comunidad de Madrid de Unidas Podemos.",542,545,5887800,"2021-04-25T15:00:00+00:00"
"JfOmAXkBDXoPkEuGx_a-","https://www.rtve.es/v/5887163/?t=00h05m10s","Ella se ha negado y el candidato de Unidas Podemos se ha ido.",310,314,5887163,"2021-04-23T21:00:00+00:00"
"hoya3XgBwhxAE5hysdLX","https://www.rtve.es/v/5856070/?t=00h08m48s","Me comprometo a que Madrid tenga presupuestos en los primeros 100 días de Gobierno El candidato de Unidas Podemos coincide con la de Mas Madrid.",528,533,5856070,"2021-04-16T15:00:00+00:00"
"ET8aqngBFxkM33EhdHm1","https://www.rtve.es/v/5834523/?t=00h19m48s","El candidato de Unidas Podemos, en su acto de hoy, no ha hecho referencia a las encuestas ni a pactos poselectorales.",1188,1192,5834523,"2021-04-05T21:00:00+00:00"
"UHcyi3gBkmYDY6jifFJL","https://www.rtve.es/v/5832062/?t=00h03m07s","El candidato socialista, Ángel Gabilondo, pide que no se crispe la campaña después del incidente de ayer cuando varios ultra increparon al líder de Unidas Podemos.",187,191,5832062,"2021-03-31T15:00:00+00:00"
"Oncyi3gBkmYDY6jinlQK","https://www.rtve.es/v/5831264/?t=00h00m36s","Pablo Iglesias deja el Gobierno para ser el candidato de Unidas Podemos en Madrid.",36,40,5831264,"2021-03-30T21:00:00+00:00"
"90cLhngBq9inESpxoD0T","https://www.rtve.es/v/5830978/?t=00h00m19s","Deja el gobierno para presentarse a las elecciones en Madrid como candidato de Unidas Podemos.",19,21,5830978,"2021-03-30T15:00:00+00:00"
"E3y-e3gB_mDWbXx1yv7o","https://www.rtve.es/v/5829365/?t=00h21m17s","""Invitamos a todas fuerzas que quieran un gobierno decente en la Comunidad de Madrid a sentarse a hablar y a ponernos a trabajar"" Y hoy la militancia ha ratificado a Pablo Iglesias como el candidato de Unidas Podemos para el próximo 4M, con el 95 % de los votos.",1277,1281,5829365,"2021-03-28T21:00:00+00:00"
"j3y-e3gB_mDWbXx1kfua","https://www.rtve.es/v/5829237/?t=00h03m11s","Pablo Iglesias se confirma como el candidato de Unidas Podemos.",191,198,5829237,"2021-03-28T15:00:00+00:00"
"oHy-e3gB_mDWbXx1l_y6","https://www.rtve.es/v/5829237/?t=00h29m37s","La militancia ratifica a Pablo Iglesias como candidato de Unidas Podemos a la Asamblea de Madrid.",1777,1780,5829237,"2021-03-28T15:00:00+00:00"
"W3WpcXgB4Or8FI40btqm","https://www.rtve.es/v/5828356/?t=00h03m16s","Candidato de consenso de PSOE, PP, Unidas Podemos y PNV, defiende el acuerdo para que los medios públicos cumplan su función en un momento tan difícil como es la pandemia.",196,200,5828356,"2021-03-26T15:00:00+00:00"
"AXWpcXgB4Or8FI40cts2","https://www.rtve.es/v/5828356/?t=00h24m04s","Al frente, el profesor universitario y periodista de 66 años José Manuel Pérez Tornero, candidato de consenso de PSOE, PP, Unidas Podemos y PNV.",1444,1448,5828356,"2021-03-26T15:00:00+00:00"
