id,link,content,start_time,end_time,programme_id,programme_date
"BU5SOnkBPi8lGtl1oLnz","https://www.rtve.es/v/5894875/?t=00h20m10s","La que más tiempo ha tardado en llegar hasta la urna ha sido Rocío Monasterio.",1210,1215,5894875,"2021-05-04T15:00:00+00:00"
"6k5SOnkBPi8lGtl10L0O","https://www.rtve.es/v/5894158/?t=00h02m59s","En este monasterio cisterciense se elaboran artesanalmente botes de mermelada como este.",179,182,5894158,"2021-05-03T21:00:00+00:00"
"Fk5SOnkBPi8lGtl10L6u","https://www.rtve.es/v/5894158/?t=00h08m05s","La candidata de Vox, Rocío Monasterio ha pasado el día con su familia.",485,488,5894158,"2021-05-03T21:00:00+00:00"
"905SOnkBPi8lGtl11L4A","https://www.rtve.es/v/5894158/?t=00h31m24s","Justo al lado del claustro de este monasterio cisterciense del siglo XII está el obrador en el que los monjes elaboran artesanalmente 30 variedades de mermelada desde hace más de veinte años.",1884,1887,5894158,"2021-05-03T21:00:00+00:00"
"_05SOnkBPi8lGtl11L4m","https://www.rtve.es/v/5894158/?t=00h32m15s","Y todo es del monasterio.",1935,1939,5894158,"2021-05-03T21:00:00+00:00"
"K05SOnkBPi8lGtl1x7xn","https://www.rtve.es/v/5893944/?t=00h05m46s","A su familia también está dedicando esta víspera de las elecciones A su familia también está dedicando esta víspera de las elecciones la candidata de Vox, Rocío Monasterio.",346,349,5893944,"2021-05-03T15:00:00+00:00"
"G05SOnkBPi8lGtl1y70F","https://www.rtve.es/v/5893944/?t=00h38m05s","Aquí podemos encontrar desde dulces, chocolates, quesos, y mermeladas de todo tipo, como éstas que elaboran desde hace más de 20 años los monjes de éste monasterio cisterciense de Soria.",2285,2289,5893944,"2021-05-03T15:00:00+00:00"
"IU5SOnkBPi8lGtl1lbcI","https://www.rtve.es/v/5893472/?t=00h09m07s","Llamamiento al voto en masa en este último mitin de VOX en el que Rocio Monasterio, arropada por Abascal, insiste en la que es su prioridad en esta campaña, impedir que la izquierda gobierne en la Comunidad de Madrid.",547,551,5893472,"2021-05-02T21:00:00+00:00"
"cE5SOnkBPi8lGtl1u7rh","https://www.rtve.es/v/5893364/?t=00h04m20s","Han coincidido en el acto del Día de la Comunidad donde ha habido saludos y también reproches, como este de Monasterio a Gabilondo.",260,264,5893364,"2021-05-02T15:00:00+00:00"
"LqRjG3kBmsWmy2c1xPeT","https://www.rtve.es/v/5889897/?t=00h17m06s","Monasterio ha recordado sus orígenes cubanos, para advertir sobre el comunismo.",1026,1031,5889897,"2021-04-27T21:00:00+00:00"
"NKRjG3kBmsWmy2c1xPey","https://www.rtve.es/v/5889897/?t=00h17m41s","Pero cree que Ayuso debería llamar a su puerta y no a la de Monasterio.",1061,1072,5889897,"2021-04-27T21:00:00+00:00"
"tuQ9FnkB9v8V8UTR_cXg","https://www.rtve.es/v/5889655/?t=00h10m00s","Si Rocío Monasterio o Edmundo Bal"" Para VOX.",600,605,5889655,"2021-04-27T15:00:00+00:00"
"UMDwC3kBHY93B332MKKs","https://www.rtve.es/v/5887800/?t=00h07m21s","Monasterio ha defendido su propio feminismo, el que está en contra de las cuotas de acceso.",441,444,5887800,"2021-04-25T15:00:00+00:00"
"M0TJBnkBqPGex-zKBFWB","https://www.rtve.es/v/5887580/?t=00h02m23s","La señora Monasterio es mala gente.",143,146,5887580,"2021-04-24T21:00:00+00:00"
"JPOmAXkBDXoPkEuGx_a5","https://www.rtve.es/v/5887163/?t=00h05m07s","Iglesias ha exigido a Monasterio una rectificación.",307,310,5887163,"2021-04-23T21:00:00+00:00"
"L_OmAXkBDXoPkEuGx_br","https://www.rtve.es/v/5887163/?t=00h06m07s","-Sra. Monasterio, lo que no puede ser es que se crea que hay una violencia buena y otra mala, una condenable y otra disculpable. le ha mandado balas, y usted sonriendo.",367,369,5887163,"2021-04-23T21:00:00+00:00"
"OfOmAXkBDXoPkEuGyPYZ","https://www.rtve.es/v/5887163/?t=00h07m12s","VOX se reafirma y manda este mensaje a Iglesias ""Cierre la puerta al salir"" Rocío Monasterio Candidata de VOX ""Esto apesta a montaje y por eso nos personaremos como acusación popular"" Iglesias pide responderles: Con buenas formas, con la dignidad de la gente trabajadora, yendo a votar pasivamente.",432,436,5887163,"2021-04-23T21:00:00+00:00"
"EfOmAXkBDXoPkEuGrfTX","https://www.rtve.es/v/5886890/?t=00h00m22s","El líder de Unidas Podemos ha abandonado el debate en la cadena SER después de que Rocio Monasterio pusiera en duda esas amenazas y se negara a rectificar.",22,25,5886890,"2021-04-23T15:00:00+00:00"
"YfOmAXkBDXoPkEuGr_Tl","https://www.rtve.es/v/5886890/?t=00h08m39s","- el resto de candidatos son aseado la conducta de monasterio.",519,524,5886890,"2021-04-23T15:00:00+00:00"
"Y_OmAXkBDXoPkEuGr_Tz","https://www.rtve.es/v/5886890/?t=00h08m58s","- monasterio lo que no puede ser es que se crea que hay una violencia buena y otra mala.",538,542,5886890,"2021-04-23T15:00:00+00:00"
"atB8_HgBgrBJfNMhQC8c","https://www.rtve.es/v/5875214/?t=00h05m37s","En esta encuesta el partido de Rocío Monasterio sube tres puntos y aleja la posibilidad de que no tengan representación.",337,343,5875214,"2021-04-22T15:00:00+00:00"
"zqlY93gBk2RQE5bLEqVO","https://www.rtve.es/v/5865353/?t=00h14m13s","Pablo Iglesias Rocío Monasterio Mónica García Isabel Díaz Ayuso Ángel Gabilondo Edmundo Bal Ciudadanos.",853,855,5865353,"2021-04-21T21:00:00+00:00"
"rKlY93gBk2RQE5bLLKgD","https://www.rtve.es/v/5865074/?t=00h19m52s","Rocío Monasterio va a abrirle los ojos a muchos madrileños .",1192,1195,5865074,"2021-04-21T15:00:00+00:00"
