id,link,content,start_time,end_time,programme_id,programme_date
"E05SOnkBPi8lGtl10L6k","https://www.rtve.es/v/5894158/?t=00h07m37s","La candidata del PP ha arrancado esta jornada de reflexión en el centro de datos, donde le han explicado todos los detalles del dispositivo electoral.",457,462,5894158,"2021-05-03T21:00:00+00:00"
"J05SOnkBPi8lGtl1x7xZ","https://www.rtve.es/v/5893944/?t=00h05m24s","Y donde la candidata del PP ha empezado hoy su agenda.",324,329,5893944,"2021-05-03T15:00:00+00:00"
"GE5SOnkBPi8lGtl1lLfc","https://www.rtve.es/v/5893472/?t=00h06m15s","Quiere el gobierno de los mejores gestores, y no tienen porque ser del PP.",375,378,5893472,"2021-05-02T21:00:00+00:00"
"HU5SOnkBPi8lGtl1lLf0","https://www.rtve.es/v/5893472/?t=00h07m26s","Están convencidos de que entrarán en la asamblea, Val apuesta por reeditar un gobierno de éxito con el PP porque la alternativa es la radicalidad de Vox.",446,450,5893472,"2021-05-02T21:00:00+00:00"
"QE5SOnkBPi8lGtl1lbeg","https://www.rtve.es/v/5893472/?t=00h12m45s","Sí ha ido el lider del PP.",765,767,5893472,"2021-05-02T21:00:00+00:00"
"Sk5SOnkBPi8lGtl1lbfS","https://www.rtve.es/v/5893472/?t=00h13m27s","El PP y Ciudadanos critican lo que califican de subida encubierta de impuestos.",807,810,5893472,"2021-05-02T21:00:00+00:00"
"c05SOnkBPi8lGtl1u7ru","https://www.rtve.es/v/5893364/?t=00h04m43s","Un micro abierto, ha cazado estas palabras de la candidata del PP.",283,285,5893364,"2021-05-02T15:00:00+00:00"
"DE5SOnkBPi8lGtl14sA6","https://www.rtve.es/v/5893145/?t=00h06m44s","El PP hoy no ha estado en los actos del día del Trabajador pero sí ha hablado sobre el 1 de mayo desde su mitin.",404,408,5893145,"2021-05-01T21:00:00+00:00"
"IU5SOnkBPi8lGtl14sCH","https://www.rtve.es/v/5893145/?t=00h08m49s","PP, Ciudadanos y VOX han pedido a la izquierda que condene los hechos.",529,533,5893145,"2021-05-01T21:00:00+00:00"
"W05SOnkBPi8lGtl1i7Vv","https://www.rtve.es/v/5893037/?t=00h01m40s","Esta formación les acusa de violentos y el PP condena los hechos y les acusan de hipocresía.",100,102,5893037,"2021-05-01T15:00:00+00:00"
"0k5SOnkBPi8lGtl1jbXo","https://www.rtve.es/v/5893037/?t=00h15m39s","El PP no sabe gobernar sin nosotros.",939,942,5893037,"2021-05-01T15:00:00+00:00"
"e1GyJXkBqRF3wowutr-X","https://www.rtve.es/v/5892806/?t=00h18m37s","Como el PSOE, la candidata del PP también ha estado en el sur de la comunidad.",1117,1119,5892806,"2021-04-30T21:00:00+00:00"
"oVGyJXkBqRF3wowumL0e","https://www.rtve.es/v/5892546/?t=00h20m27s","La candidata del PP mantiene que pactar con VOX ""no sería el fin del mundo"".",1227,1229,5892546,"2021-04-30T15:00:00+00:00"
"qFGyJXkBqRF3wowumL1O","https://www.rtve.es/v/5892546/?t=00h21m13s","-Le impondremos al PP cuando estemos en el gobierno que no exista un modelo educativo único, que exista un modelo educativo plural, diverso, inclusivo.",1273,1277,5892546,"2021-04-30T15:00:00+00:00"
"M1GyJXkBqRF3wowu3cF_","https://www.rtve.es/v/5891769/?t=00h17m54s","El PP denuncia ante la Junta Electoral que el CIS sigue haciendo encuestas sobre intención de voto en Madrid y pide que se investigue si está utilizando fondos públicos en beneficio de la estrategia del PSOE.",1074,1076,5891769,"2021-04-29T21:00:00+00:00"
"cyGLIHkBdECH5kyrGqDy","https://www.rtve.es/v/5891487/?t=00h01m30s","El PP quiere una reforma legal que permita tomar medidas sin aval judicial.",90,94,5891487,"2021-04-29T15:00:00+00:00"
"tiGLIHkBdECH5kyrHKCd","https://www.rtve.es/v/5891487/?t=00h09m42s","El líder del PP se fija en cambio en el número total de personas que están desempleados, en ERTE, o que forman parte de la población que no busca empleo.",582,585,5891487,"2021-04-29T15:00:00+00:00"
"vCGLIHkBdECH5kyrHKC_","https://www.rtve.es/v/5891487/?t=00h10m45s","Gabilondo se reafirma en su NO a Ayuso y NO entiende que Ciudadanos siga tendiéndole la mano al PP.",645,648,5891487,"2021-04-29T15:00:00+00:00"
"wSGLIHkBdECH5kyrHKDf","https://www.rtve.es/v/5891487/?t=00h11m14s","Y todo se convierte en electoral, desde luego la corrida de toros, también es un acto que tiene esa dimensión"" Lo ha dicho en Radio Nacional donde ha coincidido a pocos metros de la candidata del PP, que afirma que ir a las Ventas es seguro.",674,675,5891487,"2021-04-29T15:00:00+00:00"
"zyGLIHkBdECH5kyrHaA4","https://www.rtve.es/v/5891487/?t=00h12m32s","Desde el sur de la capital, la candidata de Más Madrid ha pedido movilización para acabar con 26 años de gobierno del PP.",752,754,5891487,"2021-04-29T15:00:00+00:00"
"0iGLIHkBdECH5kyrHaBM","https://www.rtve.es/v/5891487/?t=00h12m49s","Y el PP acaba de denunciar ante la Junta Electoral que el CIS sigue haciendo encuestas sobre intención de voto en Madrid y pide que se investigue si se están utilizando fondos públicos en beneficio del Psoe.",769,781,5891487,"2021-04-29T15:00:00+00:00"
"JSGLIHkBdECH5kyrH6GL","https://www.rtve.es/v/5891487/?t=00h21m54s","Ahora vamos a trabajar para poder tener elemento de ayuda de mutua gobernanza Desde el PP critican que el gobierno central no haya legislado un marco jurídico para las comunidades.",1314,1317,5891487,"2021-04-29T15:00:00+00:00"
"1yGLIHkBdECH5kyrS6Kw","https://www.rtve.es/v/5890828/?t=00h17m13s","Sobre un hipotético apoyo del PSOE al PP para que no pacte con VOX, hoy Díaz Ayuso matiza: -Fue simplemente una broma.",1033,1036,5890828,"2021-04-28T21:00:00+00:00"
"3qRjG3kBmsWmy2c18fj2","https://www.rtve.es/v/5890539/?t=00h13m32s","-No le estoy prestando la más mínima atención, que es lo que se merecen estas situaciones para que sigamos con la normalidad de una campaña y la seguridad propia de un estado de derecho como el nuestro El líder del PP condena la última amenaza, esta vez al expresidente Zapatero.",812,817,5890539,"2021-04-28T15:00:00+00:00"
"paRjG3kBmsWmy2c1wfYr","https://www.rtve.es/v/5889897/?t=00h02m38s","El PSOE insiste en un cordón sanitario a VOX, el PP lo descarta y pide a la izquierda que le apoye si quiere evitar a VOX.",158,161,5889897,"2021-04-27T21:00:00+00:00"
"G6RjG3kBmsWmy2c1xPcc","https://www.rtve.es/v/5889897/?t=00h15m44s","Acusan a PP y VOX de promover el odio y el enfrentamiento. y se dirigen directamente a Díaz Ayuso: -No solo no queremos las ideas de VOX, no queremos tampoco las ideas de VOX expuestas por ningún otro partido.",944,949,5889897,"2021-04-27T21:00:00+00:00"
