id,link,content,start_time,end_time,programme_id,programme_date
"FU5SOnkBPi8lGtl10L6r","https://www.rtve.es/v/5894158/?t=00h07m57s","El PSOE ha denunciado ante la Junta Electoral Central a Isabel Díaz Ayuso porque considera que hizo campaña durante el acto institucional del 2 de mayo.",477,480,5894158,"2021-05-03T21:00:00+00:00"
"KE5SOnkBPi8lGtl1x7xd","https://www.rtve.es/v/5893944/?t=00h05m28s","Visita que ha hecho un día después de su discurso en el acto institucional del 2 de mayo, por el que el PSOE la ha denunciado ante la Junta Electoral Central.",328,331,5893944,"2021-05-03T15:00:00+00:00"
"Ek5SOnkBPi8lGtl1lLfA","https://www.rtve.es/v/5893472/?t=00h04m27s","La papeleta del PSOE es la del Madrid La papeleta del PSOE es la del Madrid que en esta pandemia va a hacer que se vacunen todos y cada uno de los ciudadanos, vivan en el barrio que vivan de la Comunidad de Madrid en sus centros de atención primaria.",267,269,5893472,"2021-05-02T21:00:00+00:00"
"FE5SOnkBPi8lGtl1lLfK","https://www.rtve.es/v/5893472/?t=00h05m29s","Nosotros somos lo bueno por conocer, pues aquí está lo bueno por conocer y estamos tocando la victoria, no penséis otra cosa, estamos tocando la victoria de la mano del PSOE.",329,334,5893472,"2021-05-02T21:00:00+00:00"
"eE5SOnkBPi8lGtl1vLoB","https://www.rtve.es/v/5893364/?t=00h05m13s","El candidato del PSOE, entre abucheos, ha apelado a la movilización para frenar la espiral del conflicto permanente.",313,316,5893364,"2021-05-02T15:00:00+00:00"
"Bk5SOnkBPi8lGtl14sAk","https://www.rtve.es/v/5893145/?t=00h05m54s","Al candidato del PSOE le ha acompañado esta tarde Salvador Illa.",354,357,5893145,"2021-05-01T21:00:00+00:00"
"wE5SOnkBPi8lGtl1jbWS","https://www.rtve.es/v/5893037/?t=00h13m31s","El candidato del PSOE carga contra Díaz Ayuso por convocar las elecciones en día laborable y pide un esfuerzo a los ciudadanos para ir a las urnas.",811,814,5893037,"2021-05-01T15:00:00+00:00"
"005SOnkBPi8lGtl1jbXt","https://www.rtve.es/v/5893037/?t=00h15m41s","Sobre el polémico cartel de VOX, la Fiscalía recurrirá el archivo de la causa, también el PSOE, que dice estar dispuesto a llegar hasta el Constitucional.",941,944,5893037,"2021-05-01T15:00:00+00:00"
"dlGyJXkBqRF3wowutr95","https://www.rtve.es/v/5892806/?t=00h17m59s","El PSOE aprieta en los últimos días de campaña y multiplica sus actos en la zona sur para movilizar a la izquierda.",1079,1083,5892806,"2021-04-30T21:00:00+00:00"
"eVGyJXkBqRF3wowutr-N","https://www.rtve.es/v/5892806/?t=00h18m21s","Y sobre el lema de Díaz Ayuso insisten en que las libertades llevan las siglas del PSOE.",1101,1103,5892806,"2021-04-30T21:00:00+00:00"
"e1GyJXkBqRF3wowutr-X","https://www.rtve.es/v/5892806/?t=00h18m37s","Como el PSOE, la candidata del PP también ha estado en el sur de la comunidad.",1117,1119,5892806,"2021-04-30T21:00:00+00:00"
"olGyJXkBqRF3wowumL0l","https://www.rtve.es/v/5892546/?t=00h20m31s","Díaz Ayuso vuelve a criticar al PSOE por hacer públicas las amenazas.",1231,1235,5892546,"2021-04-30T15:00:00+00:00"
"o1GyJXkBqRF3wowumL0s","https://www.rtve.es/v/5892546/?t=00h20m36s","-Un intento a la desesperada de frenar la caída histórica del PSOE en Madrid, que lo va a ser, va a ser contundente y que incluso podría ser sorpasado"" VOX responsabiliza a Iglesias de esta acción de FEMEN en su sede y asegura que serán determinantes para frenarlos.",1236,1238,5892546,"2021-04-30T15:00:00+00:00"
"LVGyJXkBqRF3wowu3cFk","https://www.rtve.es/v/5891769/?t=00h17m11s","La campaña va llegando a su final y el PSOE se muestra optimista: cree que están a tan solo un escaño de poner fin al gobierno delPP.",1031,1035,5891769,"2021-04-29T21:00:00+00:00"
"M1GyJXkBqRF3wowu3cF_","https://www.rtve.es/v/5891769/?t=00h17m54s","El PP denuncia ante la Junta Electoral que el CIS sigue haciendo encuestas sobre intención de voto en Madrid y pide que se investigue si está utilizando fondos públicos en beneficio de la estrategia del PSOE.",1074,1076,5891769,"2021-04-29T21:00:00+00:00"
"slGyJXkBqRF3wowu38HX","https://www.rtve.es/v/5891769/?t=00h32m00s","También diputados de 12 partidos, incluidos PSOE, Unidas Podemos y formaciones nacionalistas, le han mandado una carta a la embajadora de Israel en España para pedirle lo mismo: libertad para Juana Ruiz y respeto por el derecho internacional.",1920,1924,5891769,"2021-04-29T21:00:00+00:00"
"0iGLIHkBdECH5kyrHaBM","https://www.rtve.es/v/5891487/?t=00h12m49s","Y el PP acaba de denunciar ante la Junta Electoral que el CIS sigue haciendo encuestas sobre intención de voto en Madrid y pide que se investigue si se están utilizando fondos públicos en beneficio del Psoe.",769,781,5891487,"2021-04-29T15:00:00+00:00"
"1yGLIHkBdECH5kyrS6Kw","https://www.rtve.es/v/5890828/?t=00h17m13s","Sobre un hipotético apoyo del PSOE al PP para que no pacte con VOX, hoy Díaz Ayuso matiza: -Fue simplemente una broma.",1033,1036,5890828,"2021-04-28T21:00:00+00:00"
"2CGLIHkBdECH5kyrS6K1","https://www.rtve.es/v/5890828/?t=00h17m20s","Y rechaza a PSOE y a Podemos.",1040,1043,5890828,"2021-04-28T21:00:00+00:00"
