id,link,content,start_time,end_time,programme_id,programme_date
"jE5SOnkBPi8lGtl1nriO","https://www.rtve.es/v/5894875/?t=00h01m50s","Como el resto de ciudadanos, han tenido que esperar su turno para poder depositar su voto y algunos han votado con retraso sobre la hora prevista.",110,112,5894875,"2021-05-04T15:00:00+00:00"
"CE5SOnkBPi8lGtl1obkI","https://www.rtve.es/v/5894875/?t=00h20m42s","Que los ciudadanos estén involucrados con las elecciones, que no se alejen de su responsabilidad.",1242,1244,5894875,"2021-05-04T15:00:00+00:00"
"C05SOnkBPi8lGtl1obkY","https://www.rtve.es/v/5894875/?t=00h20m58s","Hemos visto a Edmundo Bal, de Ciudadanos.",1258,1261,5894875,"2021-05-04T15:00:00+00:00"
"OU5SOnkBPi8lGtl1orkH","https://www.rtve.es/v/5894875/?t=00h26m38s","Sobre los derechos de los ciudadanos. cierre perimetral y toque de queda. se tiene que pronunciar en 5 días hábiles. con un recurso de tasación se tarde en 5 meses.",1598,1601,5894875,"2021-05-04T15:00:00+00:00"
"SU5SOnkBPi8lGtl1orlT","https://www.rtve.es/v/5894875/?t=00h29m26s","No está incorporada esta reforma, otra cosa es que en etapas prelectorales, cualquier elemento sirve para intentar llevar al ánimo de los ciudadanos algo que este Gobierno ni ha decidido, ni ha hecho, ni ha planteado.",1766,1770,5894875,"2021-05-04T15:00:00+00:00"
"HU5SOnkBPi8lGtl10L7J","https://www.rtve.es/v/5894158/?t=00h08m34s","Después se ha ido de cañas con otros dirigentes de Ciudadanos.",514,520,5894158,"2021-05-03T21:00:00+00:00"
"LU5SOnkBPi8lGtl1x7xu","https://www.rtve.es/v/5893944/?t=00h06m00s","Y Edmundo Bal, el candidato de Ciudadanos, ha empezado la mañana corriendo 14 km por el anillo ciclista cercano a su casa.",360,363,5893944,"2021-05-03T15:00:00+00:00"
"Ek5SOnkBPi8lGtl1lLfA","https://www.rtve.es/v/5893472/?t=00h04m27s","La papeleta del PSOE es la del Madrid La papeleta del PSOE es la del Madrid que en esta pandemia va a hacer que se vacunen todos y cada uno de los ciudadanos, vivan en el barrio que vivan de la Comunidad de Madrid en sus centros de atención primaria.",267,269,5893472,"2021-05-02T21:00:00+00:00"
"G05SOnkBPi8lGtl1lLfp","https://www.rtve.es/v/5893472/?t=00h07m11s","Último esfuerzo de Ciudadanos por captar el voto indeciso, Edmundo Val e Inés Arrimadas volcada en esta campaña han hecho un llamamiento a enterrar el odio de los últimos días con papeletas naranja.",431,434,5893472,"2021-05-02T21:00:00+00:00"
"Sk5SOnkBPi8lGtl1lbfS","https://www.rtve.es/v/5893472/?t=00h13m27s","El PP y Ciudadanos critican lo que califican de subida encubierta de impuestos.",807,810,5893472,"2021-05-02T21:00:00+00:00"
