id,link,content,start_time,end_time,programme_id,programme_date
"uU5SOnkBPi8lGtl1n7hv","https://www.rtve.es/v/5894875/?t=00h10m03s","A la 1:00 de la tarde la participación en 21,48%. ha subido en los municipios más poblados. tanto en el norte como en el sur de Madrid. jornada absolutamente normal.",603,607,5894875,"2021-05-04T15:00:00+00:00"
"6U5SOnkBPi8lGtl1oLhq","https://www.rtve.es/v/5894875/?t=00h16m39s","A estas alturas, las medidas anticovid las tenemos más que claras pero esta mañana en Madrid había que reforzarlas.",999,1001,5894875,"2021-05-04T15:00:00+00:00"
"-k5SOnkBPi8lGtl1oLi8","https://www.rtve.es/v/5894875/?t=00h18m16s","Hay más de mil locales electorales en la Comunidad de Madrid en los que hoy se ha reforzado la vigilancia con 8.100 efectivos por si se producen incidentes durante las votaciones.",1096,1098,5894875,"2021-05-04T15:00:00+00:00"
"_U5SOnkBPi8lGtl1oLjK","https://www.rtve.es/v/5894875/?t=00h19m14s","Es el momento en el que los candidatos a la presidencia de la Comunidad de Madrid depositaban su voto en las urnas, todos menos Mónica García, de Más Madrid, que ya había votado por correo y ha acompañado a su padre.",1154,1157,5894875,"2021-05-04T15:00:00+00:00"
"Bk5SOnkBPi8lGtl1oLn7","https://www.rtve.es/v/5894875/?t=00h20m17s","Más de una hora de cola Inmensas colas en los colegios de Madrid. significa que hay alta participación.",1217,1219,5894875,"2021-05-04T15:00:00+00:00"
"Dk5SOnkBPi8lGtl1obkm","https://www.rtve.es/v/5894875/?t=00h21m05s","A Mónica García, candidata de Más Madrid, no la hemos visto votar.",1265,1269,5894875,"2021-05-04T15:00:00+00:00"
"Ek5SOnkBPi8lGtl1obk4","https://www.rtve.es/v/5894875/?t=00h21m29s","Estas elecciones son mucho más que unas elecciones a la Comunidad de Madrid.",1289,1293,5894875,"2021-05-04T15:00:00+00:00"
"HU5SOnkBPi8lGtl1obl3","https://www.rtve.es/v/5894875/?t=00h22m52s","Este año parece que hay más expectación. por saber quien gane aquí, ganan la Comunidad de Madrid.",1372,1376,5894875,"2021-05-04T15:00:00+00:00"
"7k5SOnkBPi8lGtl1pbkY","https://www.rtve.es/v/5894875/?t=00h47m44s","Hoy suben y seguirán subiendo a lo largo de estos próximos días, tanto que, por ejemplo, el próximo sábado llegaremos a más de 30 grados en el valle del Ebro, hasta 30 grados en Santander, 28 en Madrid, más de 30 en el sur, o hasta 26 grados en Palma.",2864,2868,5894875,"2021-05-04T15:00:00+00:00"
"GE5SOnkBPi8lGtl10L62","https://www.rtve.es/v/5894158/?t=00h08m15s","Es la imagen que más se repite durante las jornadas de reflexión, y así hemos visto a Mónica García, de Más Madrid, caminando tranquilamente por el Retiro.",495,499,5894158,"2021-05-03T21:00:00+00:00"
