id,link,content,start_time,end_time,programme_id,programme_date
"w-Q9FnkB9v8V8UTR_sUv","https://www.rtve.es/v/5889655/?t=00h11m19s","El Partido Popular intenta justificar el no hacer ese cordón sanitario porque, en el fondo, cuenta con la ultraderecha para conformar sus propios gobiernos.",679,683,5889655,"2021-04-27T15:00:00+00:00"
"PJcVEXkBYZm1cCDlJHQd","https://www.rtve.es/v/5888674/?t=00h01m03s","El Partido Popular condena los hechos y llama a recuperar la convivencia, al igual que Ciudadanos.",63,65,5888674,"2021-04-26T15:00:00+00:00"
"fZcVEXkBYZm1cCDlJnQF","https://www.rtve.es/v/5888674/?t=00h08m52s","Condena también del presidente del Gobierno en Twitter y de la candidata del Partido Popular, que asegura que estos actos no tienen sentido en un país en libertad.",532,534,5888674,"2021-04-26T15:00:00+00:00"
"TdB8_HgBgrBJfNMhPy9H","https://www.rtve.es/v/5875214/?t=00h01m22s","El Partido Popular no se cree el sondeo, en su opinión el CIS no tiene ningún prestigio.",82,85,5875214,"2021-04-22T15:00:00+00:00"
"talY93gBk2RQE5bLLKgm","https://www.rtve.es/v/5865074/?t=00h20m46s","Acabamos de saber que el Tribunal Constitucional ha admitido a trámite los recursos presentados por el Partido Popular y Vox contra la ley de educación aprobada el pasado mes de diciembre.",1246,1249,5865074,"2021-04-21T15:00:00+00:00"
"qalY93gBk2RQE5bLGaaA","https://www.rtve.es/v/5859407/?t=00h11m03s","El Partido Popular deja clara su postura.",663,665,5859407,"2021-04-20T21:00:00+00:00"
"talY93gBk2RQE5bLGabD","https://www.rtve.es/v/5859407/?t=00h11m57s","-Creo que el Partido Popular, si me permiten esta expresión, está en redando con este tema del estado de alarma y no sabe ni lo que quiere.",717,720,5859407,"2021-04-20T21:00:00+00:00"
"PtslzngB1caK9CscSE1T","https://www.rtve.es/v/5852699/?t=00h22m18s","Desde la oposición, el Partido Popular critica que no se conozcan las medidas comprometidas con Bruselas para reformar las pensiones.",1338,1342,5852699,"2021-04-13T15:00:00+00:00"
"79slzngB1caK9CscgU44","https://www.rtve.es/v/5852001/?t=00h15m57s","Esta tarde el Partido Popular ha recurrido ya al Tribunal Constitucional la sentencia que sacó de su candidatura en Madrid al exdirigente de Ciudadanos Toni Cantó.",957,960,5852001,"2021-04-12T21:00:00+00:00"
"9rbXw3gBGqs3t8-hnNpG","https://www.rtve.es/v/5839061/?t=00h19m57s","La sentencia excluye a Toni Cantó y a Agustín Conde como candidatos de las listas del Partido Popular por Madrid.",1197,1200,5839061,"2021-04-11T21:00:00+00:00"
