id,link,content,start_time,end_time,programme_id,programme_date
"0U5SOnkBPi8lGtl1jbXk","https://www.rtve.es/v/5893037/?t=00h15m33s","El Partido Socialista necesita Vox, para contraponer Vox y socialismo.",933,937,5893037,"2021-05-01T15:00:00+00:00"
"xpvk53gB-FxU3KQ8kDnq","https://www.rtve.es/v/5857034/?t=00h05m17s","Madrid deberá optar entre dos caminos, muy claros, muy definidos, el camino de la recuperación justa con un Gobierno serio, liderado por el Partido Socialista y Ángel Gabilondo o el camino del Gobierno de Colón, que significa exclusión social, ultraderecha y corrupción.",317,320,5857034,"2021-04-18T15:00:00+00:00"
"9NslzngB1caK9CscgU5P","https://www.rtve.es/v/5852001/?t=00h16m37s","No le oí decir lo mismo cuando en Cataluña hubo elecciones El Partido Socialista nos tiene enfrentados hasta por CC.AA. Lo ha dicho en un acto en Parla, en el que un grupo de vecinos le ha reclamado la construcción de un instituto público.",997,1000,5852001,"2021-04-12T21:00:00+00:00"
"BbbXw3gBGqs3t8-hnNuo","https://www.rtve.es/v/5839061/?t=00h21m33s","El Partido Socialista defiende su estrategia de vacunación y acusa al Partido Popular de ir a favor del virus.",1293,1297,5839061,"2021-04-11T21:00:00+00:00"
"qrbXw3gBGqs3t8-hqdzx","https://www.rtve.es/v/5838983/?t=00h18m12s","Con las vacunas como centro de la polémica política, El partido socialista acusa al partido popular de sembrar dudas sobre la vacuna y de ir, dicen, a favor del virus.",1092,1096,5838983,"2021-04-11T15:00:00+00:00"
"yrbXw3gBGqs3t8-hst1N","https://www.rtve.es/v/5838983/?t=00h50m24s","Tras el recurso del Partido Socialista.",3024,3031,5838983,"2021-04-11T15:00:00+00:00"
"QQGwvngB9MYu1IzLvLFu","https://www.rtve.es/v/5838615/?t=00h20m34s","Edmundo Bal Ciudadnos está Ciudadanos no estará Vox y no estará Podemos, y si no están ellos, nos encontraremos con sentido común"" Todo esto un mes justo desde que Ayuso convocó las elecciones El partido socialista ha recurrido la decisión de la Junta Electoral de Madrid que dió validez a lista del PP.",1234,1237,5838615,"2021-04-10T15:00:00+00:00"
"HgnKn3gBJPFmAz344UZI","https://www.rtve.es/v/5833750/?t=00h24m07s","El Partido Socialista arremete contra el Gobierno de la Comunidad de Madrid.",1447,1450,5833750,"2021-04-04T21:00:00+00:00"
"jQnKn3gBJPFmAz34zUSd","https://www.rtve.es/v/5833665/?t=00h31m19s","-Porque no habla Ángel Gabilondo, habla Pedro Sánchez, que todos los madrileños lo tengan claro, aquí no se elige al candidato Ángel Gabilondo, aquí se elige a Pedro Sánchez cuando se vota al partido socialista El candidato de Ciudadanos, Edmundo Bal, sigue de precampaña.",1879,1882,5833665,"2021-04-04T15:00:00+00:00"
"rtqDbHgBM54i-KjYQfdj","https://www.rtve.es/v/5826598/?t=00h08m00s","Entre aplausos de los suyos y de la bancada socialista y con un gesto simbólico hacia la ministra de Trabajo, Yolanda Díaz, su sucesora en el Gobierno y quizá en el partido.",480,483,5826598,"2021-03-24T21:00:00+00:00"
