id,link,content,start_time,end_time,programme_id,programme_date
"Gk5SOnkBPi8lGtl10L69","https://www.rtve.es/v/5894158/?t=00h08m26s","Por la sierra de Madrid, con compañeros de Unidas Podemos, y también con su mascota.",506,510,5894158,"2021-05-03T21:00:00+00:00"
"LE5SOnkBPi8lGtl1x7xq","https://www.rtve.es/v/5893944/?t=00h05m55s","En la sierra de Madrid hemos visto a Pablo Iglesias, también, con otros integrantes de Unidas Podemos.",355,359,5893944,"2021-05-03T15:00:00+00:00"
"JU5SOnkBPi8lGtl1lbcb","https://www.rtve.es/v/5893472/?t=00h09m42s","Unidas Podemos asegura que son los únicos que pueden cambiar las cosas y piden movilización para frenar al fascismo.",582,585,5893472,"2021-05-02T21:00:00+00:00"
"O05SOnkBPi8lGtl1lbeG","https://www.rtve.es/v/5893472/?t=00h12m23s","Por ese motivo no ha estado el candidato de Unidas Podemos.",743,747,5893472,"2021-05-02T21:00:00+00:00"
"uk5SOnkBPi8lGtl1jbV3","https://www.rtve.es/v/5893037/?t=00h12m51s","Es su primer acto juntos en campaña, que también ha estado marcada por una noticia que se ha conocido hoy: un miembro de seguridad de Unidas Podemos fue uno de los detenidos en el mitin de VOX en Vallecas.",771,774,5893037,"2021-05-01T15:00:00+00:00"
"xk5SOnkBPi8lGtl1jbWt","https://www.rtve.es/v/5893037/?t=00h14m08s","El otro tema que ha entrado en campaña: la detención de un miembro de seguridad de Unidas Podemos en el mitin de VOX en Vallecas.",848,851,5893037,"2021-05-01T15:00:00+00:00"
"hVGyJXkBqRF3wowutr_K","https://www.rtve.es/v/5892806/?t=00h19m21s","Unidas Podemos, en Vallecas en un acto de la cultura...",1161,1165,5892806,"2021-04-30T21:00:00+00:00"
"slGyJXkBqRF3wowu38HX","https://www.rtve.es/v/5891769/?t=00h32m00s","También diputados de 12 partidos, incluidos PSOE, Unidas Podemos y formaciones nacionalistas, le han mandado una carta a la embajadora de Israel en España para pedirle lo mismo: libertad para Juana Ruiz y respeto por el derecho internacional.",1920,1924,5891769,"2021-04-29T21:00:00+00:00"
"TyGLIHkBdECH5kyrSKLL","https://www.rtve.es/v/5890828/?t=00h01m06s","Las fuerzas de seguridad investigan las cartas con amenazas de muerte que han recibido en las últimas horas el expresidente Rodríguez Zapatero, la presidenta madrileña Díaz Ayuso y el candidato de Unidas Podemos, Pablo Iglesias.",66,68,5890828,"2021-04-28T21:00:00+00:00"
"6qRjG3kBmsWmy2c18vhF","https://www.rtve.es/v/5890539/?t=00h14m57s","VOX vuelve a señalar al candidato de Unidas Podemos.",897,901,5890539,"2021-04-28T15:00:00+00:00"
