id,link,content,start_time,end_time,programme_id,programme_date
"B05SOnkBPi8lGtl1obkD","https://www.rtve.es/v/5894875/?t=00h20m32s","Más de una hora de cola en la que hemos visto a la candidata de VOX recoger los papeles que minutos antes habían lanzado las activistas de Femen.",1232,1235,5894875,"2021-05-04T15:00:00+00:00"
"GU5SOnkBPi8lGtl1oblZ","https://www.rtve.es/v/5894875/?t=00h22m00s","También ha votado en estas elecciones el líder de VOX y el de Más País, Iñigo Errejón.",1320,1324,5894875,"2021-05-04T15:00:00+00:00"
"Fk5SOnkBPi8lGtl10L6u","https://www.rtve.es/v/5894158/?t=00h08m05s","La candidata de Vox, Rocío Monasterio ha pasado el día con su familia.",485,488,5894158,"2021-05-03T21:00:00+00:00"
"K05SOnkBPi8lGtl1x7xn","https://www.rtve.es/v/5893944/?t=00h05m46s","A su familia también está dedicando esta víspera de las elecciones A su familia también está dedicando esta víspera de las elecciones la candidata de Vox, Rocío Monasterio.",346,349,5893944,"2021-05-03T15:00:00+00:00"
"HU5SOnkBPi8lGtl1lLf0","https://www.rtve.es/v/5893472/?t=00h07m26s","Están convencidos de que entrarán en la asamblea, Val apuesta por reeditar un gobierno de éxito con el PP porque la alternativa es la radicalidad de Vox.",446,450,5893472,"2021-05-02T21:00:00+00:00"
"IU5SOnkBPi8lGtl1lbcI","https://www.rtve.es/v/5893472/?t=00h09m07s","Llamamiento al voto en masa en este último mitin de VOX en el que Rocio Monasterio, arropada por Abascal, insiste en la que es su prioridad en esta campaña, impedir que la izquierda gobierne en la Comunidad de Madrid.",547,551,5893472,"2021-05-02T21:00:00+00:00"
"Ik5SOnkBPi8lGtl1lbcN","https://www.rtve.es/v/5893472/?t=00h09m19s","Y para ello, asegura, VOX es la única garantia.",559,564,5893472,"2021-05-02T21:00:00+00:00"
"Ok5SOnkBPi8lGtl1lbeB","https://www.rtve.es/v/5893472/?t=00h12m09s","Seguimos defendiendo ""España y la libertad"" Ella lo justifica Isabel Díaz Ayuso Presidenta de la Comunidad de Madrid ""Es el leitmotiv de la fiesta de hoy"" Todos los partidos menos VOX, le acusan de electoralismo.",729,735,5893472,"2021-05-02T21:00:00+00:00"
"7E5SOnkBPi8lGtl14b_F","https://www.rtve.es/v/5893145/?t=00h02m36s","Para el presidente del Gobierno, la recuperación no llegará sin empleos dignos, estables y transformadores Los sindicatos CGT, USO y Solidaridad, ligado a VOX, han convocado marchas independientes.",156,158,5893145,"2021-05-01T21:00:00+00:00"
"FE5SOnkBPi8lGtl14sBb","https://www.rtve.es/v/5893145/?t=00h07m41s","En la puesta de largo de su sindicato, VOX defiende un sindicalismo patriota que promueva.",461,464,5893145,"2021-05-01T21:00:00+00:00"
"Hk5SOnkBPi8lGtl14sB-","https://www.rtve.es/v/5893145/?t=00h08m32s","Un miembro del equipo de seguridad de Podemos fue detenido en el acto de VOX en Vallecas.",512,515,5893145,"2021-05-01T21:00:00+00:00"
"IU5SOnkBPi8lGtl14sCH","https://www.rtve.es/v/5893145/?t=00h08m49s","PP, Ciudadanos y VOX han pedido a la izquierda que condene los hechos.",529,533,5893145,"2021-05-01T21:00:00+00:00"
"Wk5SOnkBPi8lGtl1i7Vp","https://www.rtve.es/v/5893037/?t=00h01m35s","También ha entrado en campaña la detención de un miembro de seguridad de Podemos en un acto de Vox.",95,97,5893037,"2021-05-01T15:00:00+00:00"
"jE5SOnkBPi8lGtl1jLWE","https://www.rtve.es/v/5893037/?t=00h07m26s","Como novedad, este es el primer 1 de mayo del sindicato Solidaridad, ligado a Vox.",446,450,5893037,"2021-05-01T15:00:00+00:00"
"uk5SOnkBPi8lGtl1jbV3","https://www.rtve.es/v/5893037/?t=00h12m51s","Es su primer acto juntos en campaña, que también ha estado marcada por una noticia que se ha conocido hoy: un miembro de seguridad de Unidas Podemos fue uno de los detenidos en el mitin de VOX en Vallecas.",771,774,5893037,"2021-05-01T15:00:00+00:00"
"xk5SOnkBPi8lGtl1jbWt","https://www.rtve.es/v/5893037/?t=00h14m08s","El otro tema que ha entrado en campaña: la detención de un miembro de seguridad de Unidas Podemos en el mitin de VOX en Vallecas.",848,851,5893037,"2021-05-01T15:00:00+00:00"
"yU5SOnkBPi8lGtl1jbW_","https://www.rtve.es/v/5893037/?t=00h14m36s","Muy crítico, VOX, en el primer 1 de mayo de su sindicato, culpa a Iglesias y a Sánchez.",876,879,5893037,"2021-05-01T15:00:00+00:00"
"0U5SOnkBPi8lGtl1jbXk","https://www.rtve.es/v/5893037/?t=00h15m33s","El Partido Socialista necesita Vox, para contraponer Vox y socialismo.",933,937,5893037,"2021-05-01T15:00:00+00:00"
"005SOnkBPi8lGtl1jbXt","https://www.rtve.es/v/5893037/?t=00h15m41s","Sobre el polémico cartel de VOX, la Fiscalía recurrirá el archivo de la causa, también el PSOE, que dice estar dispuesto a llegar hasta el Constitucional.",941,944,5893037,"2021-05-01T15:00:00+00:00"
"c1GyJXkBqRF3wowutr9o","https://www.rtve.es/v/5892806/?t=00h17m39s","Frente a la agenda del retroceso de VOX, nosotros apostamos por una agenda de futuro.",1059,1063,5892806,"2021-04-30T21:00:00+00:00"
"g1GyJXkBqRF3wowutr-_","https://www.rtve.es/v/5892806/?t=00h19m10s","Vox arremete contra Iglesias.",1150,1153,5892806,"2021-04-30T21:00:00+00:00"
"l1GyJXkBqRF3wowul73a","https://www.rtve.es/v/5892546/?t=00h19m20s","La justicia ha archivado hoy la causa contra VOX, por su cartel contra los menores migrantes no acompañados.",1160,1163,5892546,"2021-04-30T15:00:00+00:00"
"mlGyJXkBqRF3wowul73u","https://www.rtve.es/v/5892546/?t=00h19m42s","Ahora ya no está, pero hoy el polémico cartel de VOX ha vuelto a entrar en campana.",1182,1184,5892546,"2021-04-30T15:00:00+00:00"
"oVGyJXkBqRF3wowumL0e","https://www.rtve.es/v/5892546/?t=00h20m27s","La candidata del PP mantiene que pactar con VOX ""no sería el fin del mundo"".",1227,1229,5892546,"2021-04-30T15:00:00+00:00"
"o1GyJXkBqRF3wowumL0s","https://www.rtve.es/v/5892546/?t=00h20m36s","-Un intento a la desesperada de frenar la caída histórica del PSOE en Madrid, que lo va a ser, va a ser contundente y que incluso podría ser sorpasado"" VOX responsabiliza a Iglesias de esta acción de FEMEN en su sede y asegura que serán determinantes para frenarlos.",1236,1238,5892546,"2021-04-30T15:00:00+00:00"
"pFGyJXkBqRF3wowumL0z","https://www.rtve.es/v/5892546/?t=00h20m52s","-Si Vox va a ser la clave para frenar a la izquierda y sacar para siempre a Pablo Iglesias de las instituciones.",1252,1256,5892546,"2021-04-30T15:00:00+00:00"
"KFGyJXkBqRF3wowu3cFM","https://www.rtve.es/v/5891769/?t=00h16m43s","Para VOX: ""El problema que tiene España es que hay una derecha domesticada, que parece el perrito faldero de la izquierda"".",1003,1005,5891769,"2021-04-29T21:00:00+00:00"
"LlGyJXkBqRF3wowu3cFo","https://www.rtve.es/v/5891769/?t=00h17m19s","Somos la alternativa efectiva y progresista al gobierno de Ayuso y de VOX.",1039,1046,5891769,"2021-04-29T21:00:00+00:00"
"yiGLIHkBdECH5kyrHaAZ","https://www.rtve.es/v/5891487/?t=00h12m01s","Bal ha señalado a Ayuso por no rechazar por igual a Podemos y a VOX.",721,724,5891487,"2021-04-29T15:00:00+00:00"
"zCGLIHkBdECH5kyrHaAm","https://www.rtve.es/v/5891487/?t=00h12m08s","-A mi los dos polos me quedan a la misma distancia, a Ayuso le queda mucho más lejos del lugar en el que ella se encuentra Podemos que Vox"".",728,734,5891487,"2021-04-29T15:00:00+00:00"
"zSGLIHkBdECH5kyrHaAt","https://www.rtve.es/v/5891487/?t=00h12m19s","Vox también llama a la movilización.",739,744,5891487,"2021-04-29T15:00:00+00:00"
"1iGLIHkBdECH5kyrHaBm","https://www.rtve.es/v/5891487/?t=00h13m38s","Hoy todos los diputados han podido estar en el hemiciclo, después de un año con restricciones Así que es la primera vez que VOX ha ocupado sus escaños.",818,820,5891487,"2021-04-29T15:00:00+00:00"
"1yGLIHkBdECH5kyrS6Kw","https://www.rtve.es/v/5890828/?t=00h17m13s","Sobre un hipotético apoyo del PSOE al PP para que no pacte con VOX, hoy Díaz Ayuso matiza: -Fue simplemente una broma.",1033,1036,5890828,"2021-04-28T21:00:00+00:00"
