character_id,raw_character_text
1.0,Marge Simpson
2.0,Homer Simpson
3.0,Seymour Skinner
4.0,JANEY
5.0,Todd Flanders
6.0,Dewey Largo
7.0,Children
8.0,Bart Simpson
9.0,Lisa Simpson
10.0,Patty Bouvier
11.0,Ned Flanders
12.0,Mechanical Santa
13.0,Tattoo Man
14.0,Waylon Smithers
15.0,C. Montgomery Burns
16.0,DOCTOR ZITSOFSKY
17.0,Moe Szyslak
18.0,Barney Gumble
19.0,Interviewer
20.0,Students
21.0,Teacher
22.0,Selma Bouvier
23.0,Voice
24.0,Little Boy
25.0,Milhouse Van Houten
26.0,Lewis Clark
27.0,Little Girl
28.0,Clerk
29.0,Bubbles
30.0,Moldy
31.0,Grampa Simpson
32.0,Father
33.0,Announcer
34.0,Ticket Seller
35.0,Elf #1
36.0,Elves
37.0,Dog's Owner
38.0,Martin Prince
39.0,Kids
40.0,Edna Krabappel-Flanders
41.0,Conductor
42.0,Secretary
43.0,Dr. J. Loren Pyror
44.0,Ms. Melon
45.0,Ethan Foley
46.0,Sydney
47.0,Cecile Shapiro
48.0,Ian
49.0,Calvin
50.0,"Martin Prince, Sr."
51.0,Richard
52.0,Otto Mann
53.0,Wendell Borton
54.0,Sherri Mackleberry
55.0,Terri Mackleberry
56.0,Narrator
57.0,Smilin' Joe Fission
58.0,Rod #1
59.0,Rod #2
60.0,RODS
61.0,Workman #1
62.0,Foreman
63.0,TERRI & SHERRI
64.0,PUNK TEENAGER
65.0,Tv Announcer #1
66.0,Tv Announcer #2
67.0,Jingle Chorus
68.0,Sylvia Winfield
69.0,Old Man Winfield
70.0,Councilman #1
71.0,Chief Wiggum
72.0,Councilman #2
73.0,COUNCILMEN #1#2
74.0,Demonstrator #1
75.0,Crowd
76.0,MR. GAMMILL
77.0,TOM
78.0,Mrs. Long
79.0,Wife #1
80.0,Wife #2
81.0,Other Women
82.0,Nice Father
83.0,Nice Boy
84.0,NICE GIRL
85.0,Nice Mother
86.0,NICE FAMILY
87.0,Williams Boy
88.0,Mr. Williams
89.0,BOXING ANNOUNCER
90.0,Eddie
91.0,Lou
92.0,TV-STATION ANNOUNCER
93.0,Tv Wife
94.0,Tv Husband
95.0,Small Boy
96.0,Dr. Marvin Monroe
97.0,Pawn Broker
98.0,Receptionist
99.0,Homer-ish Husband
100.0,Weasel #1
101.0,Nelson Muntz
102.0,ALL AT THE TABLE
103.0,Kid
104.0,Weasel #2
105.0,Maggie Simpson
106.0,Homer's Image
107.0,Elderly Gentleman
108.0,Herman Hermann
109.0,All
110.0,Ms. Barr
111.0,Bleeding Gums Murphy
112.0,Jacqueline Bouvier
113.0,Newsman
114.0,Barflies
115.0,Cashier
116.0,Boy Onlooker
117.0,Champ
118.0,Woman
119.0,Ralph Wiggum
120.0,Stan
121.0,Rod Flanders
122.0,NED
123.0,Cowboy Bob
124.0,Salesman
125.0,Homer's Canyon Echo
126.0,Camper Father
127.0,Camper Mother
128.0,Photographer
129.0,Game Warden
130.0,Reporter #1
131.0,Reporter #2
132.0,Flunky
133.0,Map Boy
134.0,Man #1
135.0,Man #2
136.0,German Scientist
137.0,Beautiful French Scientist
138.0,English Scientist
139.0,Krusty the Clown
140.0,Rev. Timothy Lovejoy
141.0,Announcer #1
142.0,Radio Announcer #1
143.0,Churchgoing Woman
144.0,Jimbo Jones
145.0,Kearney Zzyzwicz
146.0,DOLPH
147.0,Girl On Screen
148.0,Boy On Screen
149.0,Usher
150.0,Mr. Dandy
151.0,Radio Announcer #3
152.0,Jebediah Springfield
153.0,Sideshow Bob
154.0,TV ANNOUNCER #3 CONT'D
155.0,Mob
156.0,Security Guard
158.0,1st Waiter Quartet
159.0,2nd Waiter Quartet
160.0,3rd Waiter Quartet
161.0,4TH QUARTET OF WAITERS
162.0,Counter Guy
163.0,Jacques
164.0,HELEN
165.0,Lenny Leonard
166.0,Another Worker
167.0,Female Mail Carrier
168.0,Mr. Fisk
169.0,Eugene Fisk
170.0,Carl Carlson
171.0,Waiter
172.0,Workers
173.0,Princess Kashmir
174.0,Hoyt
175.0,Girl #1
176.0,Boy #1
177.0,All Kids
178.0,Freddie
179.0,Lewis's Dad
180.0,Al
181.0,Happy Man
182.0,Funky Guy
183.0,Manager
184.0,Man At Door
185.0,Ticket-seller
186.0,Stage Manager
187.0,Gulliver Dark
188.0,Theatre-goer #1
189.0,Theatre-goer #2
190.0,Theatre-goer #3
191.0,Krusty Doll
192.0,Agnes Skinner
193.0,Steward
194.0,Mother
195.0,Adil Hoxha
196.0,UGOLIN
197.0,Cesar
198.0,Male Announcer
199.0,Military Man
200.0,MARGE & BART
201.0,Gendarme
202.0,Cia Agent #1
203.0,Cia Agent #2
204.0,Brad
205.0,Female Announcer
206.0,Brittany
207.0,ITCHY & SCRATCHY CHORUS
208.0,Apu Nahasapeemapetilon
209.0,Police Artist
210.0,Scott Christian
211.0,Kent Brockman
212.0,Reporter #3
213.0,Lawyer
214.0,Judge Snyder
215.0,District Attorney
216.0,Merchant
217.0,Foreperson
218.0,Director
219.0,Merchandiser #1
220.0,Merchandiser #3
221.0,Kbbl Weatherman
222.0,Arnie Pye
223.0,Radio Announcer
224.0,Screener
225.0,Worker One
226.0,Florist
227.0,Lucille Botzcowski
228.0,Maitre D'
229.0,Doofy
230.0,U-Squeal Operator
231.0,Tv Reporter
233.0,Bart's Voice
234.0,Krabappel's Mouth
235.0,GRANDMA
236.0,Nurse Farrell
237.0,Nurse
238.0,Marty
239.0,Bill
240.0,Mayor Joe Quimby
241.0,Entire Town
242.0,Thomas Jefferson
243.0,John Adams
244.0,Samuel Chase
245.0,Roger Sherman
246.0,Benjamin Franklin
247.0,Tv Host
248.0,Tv Contestant
249.0,Good-looking Man
250.0,Dr. H. Boyle
251.0,Mr. Winfield
252.0,Mourners
253.0,Other Runner
254.0,Jake
255.0,Woman Applicant
256.0,Karl
257.0,Man In Tuxedo
258.0,Executive #1
259.0,Executive #3
260.0,Moving Man
261.0,House
262.0,Kang
263.0,Serak The Preparer
264.0,Kodos
265.0,V.O.
