id,name
1,Marge Simpson
8,Bart Simpson
9,Lisa Simpson
17,Moe Szyslak
3,Seymour Skinner
11,Ned Flanders
31,Grampa Simpson
71,Chief Wiggum
25,Milhouse Van Houten
14,Waylon Smithers
101,Nelson Muntz
40,Edna Krabappel-Flanders
33,Announcer
22,Selma Bouvier
18,Barney Gumble
10,Patty Bouvier
38,Martin Prince
52,Otto Mann
91,Lou
5,Todd Flanders
96,Dr. Marvin Monroe
43,Dr. J. Loren Pyror
6,Dewey Largo
90,Eddie
21,Teacher
28,Clerk
32,Father
54,Sherri Mackleberry
4,JANEY
44,Ms. Melon
19,Interviewer
45,Ethan Foley
55,Terri Mackleberry
23,Voice
98,Receptionist
211,Kent Brockman
208,Apu Nahasapeemapetilon
165,Lenny Leonard
170,Carl Carlson
153,Sideshow Bob
119,Ralph Wiggum
144,Jimbo Jones
192,Agnes Skinner
145,Kearney Zzyzwicz
146,DOLPH
214,Judge Snyder
163,Jacques
124,Salesman
118,Woman
121,Rod Flanders
183,Manager
111,Bleeding Gums Murphy
123,Cowboy Bob
112,Jacqueline Bouvier
171,Waiter
187,Gulliver Dark
197,Cesar
120,Stan
115,Cashier
191,Krusty Doll
213,Lawyer
194,Mother
240,Mayor Joe Quimby
308,Maude Flanders
309,Helen Lovejoy
273,Jasper Beardly
311,Man
238,Marty
272,TV Announcer
239,Bill
218,Director
222,Arnie Pye
237,Nurse
256,Karl
223,Radio Announcer
313,British Commentator
270,DANIELSON
332,Dr. Julius Hibbert
404,Groundskeeper Willie
426,Troy McClure
347,Lionel Hutz
417,HERB
414,Mona Simpson
335,"Roger Meyers, Jr."
351,Blue-Haired Lawyer
349,Dr. Nick Riviera
373,Artie Ziff
353,Larry
370,Principal Dondelinger
427,Emily
356,Akira
429,Jack
330,Track Announcer
346,Devil
433,Farmer
345,Reporter
331,MURDOCK
442,Professor Jonathan Frink
518,Snake Jailbird
464,Miss Hoover
465,BERGSTROM
511,MICHAEL
526,Pilot
478,John
508,Host
436,Guard
477,Gloria
479,Captain
496,Mrs. Glick
516,Doctor
533,BARBARA
517,Dave
514,Wiseguy
568,Fat Tony
570,Louie
598,Rabbi Hyman Krustofsky
591,Luann Van Houten
615,Colonel
638,Football Announcer
567,Executive
603,D.J.
645,Becky
585,Instructor
652,Aide
626,Lunchlady Doris
699,Sideshow Mel
742,Tour Guide
657,HUGH
758,Tammy
767,Employee
741,Mike Scioscia
668,Charlie
715,Nick
817,Kirk Van Houten
785,Lurleen Lumpkin
774,God
803,Nigel Bakerbutcher
944,Captain Horatio McCallister
963,Hans Moleman
923,Squeaky-Voiced Teen
978,LANLEY
921,Laura Powers
908,Bumblebee Man
880,Santa Claus
1078,Gary Chalmers
1046,Baseball Announcer
1071,ARTIE
1197,George H.W. Bush
1108,Warden
1239,GOODMAN
1225,RUTH
1270,Mindy
1223,Edward
1260,Accountant
1403,Bill Clinton
1337,James Woods
1524,Jessica
1370,STILLWATER
1333,Technician
1435,Luigi
1452,Old Jewish Man
1501,Birch Barlow
1444,Auctioneer
1476,Allison
1583,Number One
1751,Producer
1875,Brandine Del Roy
1899,HURLBUT
1867,Disco Stu
1911,Chester Lampwick
1923,Macarthur Parker
1858,Detective
1876,Evelyn
2040,Hank Scorpio
2000,D'arcy
2113,Dr. Foster
2087,Belle
2187,Cecil Terwilliger
